operating_name,legal_name,ukprn,urn,provider_code,accredited_provider_number,provider_type,address1,address2,address3,address4,town,postcode,latitude,longitude,academic_year_code
2Schools Consortium,,,,T92,,scitt,Oakthorpe Primary School,c/o Tile Kiln Lane,,London,Palmers Green,N13 6BY,51.6139314,-0.0935379,2020
4Derbyshire Teaching School Alliance,,,,2C4,,school,"C/O Longwood Infant Academy, Wharf",Pinxton,,Nottingham,Pinxton,NG16 6PA,53.086088,-1.3236877,2020
AA Teamworks West Yorkshire SCITT,,,,2AT,,scitt,"The Greetland Academy ","School Street, Greetland",,West Yorkshire,Halifax,HX4 8JB,53.6896047,-1.8706233,2020
Abbey Infants' School,,,,153,,school,Federation of Abbey Schools,Cleveland Terrace,,Co. Durham,Darlington,DL3 8JA,54.52187730000001,-1.5759175,2020
Abbey MAT Primary Alliance,,,,2DQ,,school,Northolme Avenue,West Park,,Leeds,,LS16 5QR,53.832763,-1.597471,2020
Abbey Primary Community School,,,,2HO,,school,Abbey Primary Community School,109 Ross Walk,,Leicestershire,Leicester,LE4 5HH,52.6525522,-1.1244242,2020
Abraham Darby Academy,,,,159,,school,Iron Bridge Road,Madeley,,Telford,,TF7 5HX,52.63345589999999,-2.4676684,2020
Abraham Moss High School,,,,1V2,,school,Crescent Road,Crumpsall,,Manchester,,M8 5UF,53.5115944,-2.2360726,2020
Academies Enterprise Trust: Eastern,,,,2CG,,school,AET School Direct - Eastern,Academies Enterprise Trust,,London,"3rd Floor, 183 Eversholt Street",NW1 1BU,51.5320268,-0.1361007,2020
Academies Enterprise Trust: London,,,,2CH,,school,Academies Enterprise Trust,"3rd Floor, 183 Eversholt Street",,London,London,NW1 1BU,51.5320268,-0.1361007,2020
Academies Enterprise Trust: North East,,,,2CL,,school,Academies Enterprise Trust,"3rd Floor, 183 Eversholt Street",,London,London,NW1 1BU,51.5319175,-0.1359488,2020
Academies Enterprise Trust: South East,,,,2CF,,school,Academies Enterprise Trust,"3rd Floor, 183 Eversholt Street",,London,London,NW1 1BU,51.5320268,-0.1361007,2020
Academies Enterprise Trust: West Midlands,,,,2CJ,,school,Academies Enterprise Trust,"3rd Floor, 183 Eversholt Street",,London,London,NW1 1BU,51.5320268,-0.1361007,2020
Academies Enterprise Trust: Yorkshire & Humber,,,,2CK,,school,Academies Enterprise Trust,"3rd Floor, 183 Eversholt Street",,London,London,NW1 1BU,51.5320268,-0.1361007,2020
Academy Transformation Trust,,,,1OE,,school,1 Victoria Square,,,,Bimingham,B1 1BD,52.4898442,-1.9117758,2020
Achieve with TELA,,,,1R3,,school,"Station Road ","Broughton Astley ",,"Leicestershire ","Leicester ",LE9 6PT,52.5298145,-1.2225208,2020
Acklam Grange Teaching School,,,,2FD,,school,Lodore Grove,,,,Middlesbrough,TS5 8PB,54.5448792,-1.2638728,2020
Acorns Teaching School Alliance,,,,2CV,,school,Acorns Teaching School Alliance,Holwell Road,,Hertfordshire,Welwyn Garden City,AL7 3RP,51.7936309,-0.1958663,2020
Advance Learning Partnership,,,,2AL,,school,Advance Learning Partnership," Whitworth Lane",,Durham,Spennymoor,DL16 7LN,54.69502360000001,-1.6144219,2020
Affinity Teaching School Alliance (Somerset),,,,2DO,,school,The Castle School,Wellington Road,,Somerset,Taunton,TA1 5AU,51.016938,-3.1173193,2020
Agnus Dei Teaching School Alliance,,,,2BD,,school,Boleyn Road,Forest Gate,,,London,E7 9QD,51.53888749999999,0.0245491,2020
AIM Alliance Schools,,,,2FR,,school,Spur Road,,,London,Edgware,HA8 8DE,51.6227881,-0.2902603,2020
Aireborough Learning Partnership (Queensway Primary School),,,,29K,,school,Coppice Wood Ave,Yeadon,,,Leeds,LS19 7LF,53.872845,-1.6927024,2020
Aireborough Partnership,,,,2JF,,school,Rawdon St. Peter's Primary School,Town Street,,Leeds,Rawdon,LS19 6PP,53.8500804,-1.6704895,2020
Alban Federation,,,,1MN,,school,c/o Sandringham School,The Ridgeway,,Herts,St Albans,AL4 9NX,51.7703158,-0.3067366,2020
Alban Federation,,,,A46,,school,c/o Sandringham School,The Ridgeway,,Hertfordshire,St Albans,AL4 9NX,51.7703158,-0.3067366,2020
Alderman White School and Language College,,,,22E,,school,Chilwell Lane,Bramcote,,Nottinghamshire,Nottingham,NG9 3DU,52.9277673,-1.2404443,2020
Alfreton Nursery School,,,,2C2,,school,Stanton Close,Alfreton,,Derbyshire,Derby,DE553SH,53.093613,-1.388254,2020
All Hallows Catholic College,,,,1LT,,school,All Hallows Catholic College,Brooklands Ave,,Macclesfield,,SK11 8LB,53.2559602,-2.1428604,2020
All Hallows Catholic School,,,,1DQ,,school,Weybourne Road,,,Surrey,Farnham,GU9 9HF,51.2346105,-0.7744727,2020
Alliance for Learning SCITT,,,,G65,,scitt,c/o AGGS,Cavendish Road,,Altrincham,Bowdon,WA14 2NL,53.38185739999999,-2.3596009,2020
Alliance of Leading Learning,,,,1HQ,,school,Morda Road,,,Shropshire,Oswestry,SY11 2AR,52.8519064,-3.0593143,2020
All Saints Church of England Aided Junior School,,,,17S,,school,All Saints C of E Junior School,Leawood Road,,Hampshire,Fleet,GU51 5AJ,51.2752339,-0.8559308,2020
All Saints RC School,,,,2KH,,school,All Saints RC School,Mill Mount Lane,,North Yorkshire,York,YO24 1BJ,53.9514365,-1.0942545,2020
All Saints Teaching School,,,,21V,,school,All Saints Teaching School Alliance,Suite 4 Zealley House,,Devon,"Greenhill Way, Kingsteignton",TQ12 3SB,50.5319997,-3.6025917,2020
Alperton Community School,,,,1KR,,school,Alperton Community School,Stanley Avenue,,Brent,Alperton,HA0 4JE,51.5434804,-0.2926648,2020
Altius Alliance,,,,24R,,scitt,Cheadle Hulme High School,Woods Lane,,Cheshire,Cheadle Hulme,SK8 7JY,53.3658939,-2.1876031,2020
Alton Schools Teaching Alliance,,,,2BY,,school,Eastbrooke Road,,,Hampshire,Alton,GU34 2DR,51.1539775,-0.9719325,2020
Altrincham Grammar School For Girls,,,,1JT,,school,Cavendish Road,Bowdon,,Altrincham,,WA14 2NL,53.38185739999999,-2.3596009,2020
Ambitions Teaching School,,,,135,,school,"Queen's Park Academy, East Way",East Way,,Dorset,Bournemouth,BH8 9PU,50.7477593,-1.8600495,2020
Amwell View School,,,,1AC,,school,Station Road,,,Herts,Stanstead Abbotts,SG12 8EH,51.786578,-0.002803,2020
Angel Islington Teaching School Alliance,,,,2BZ,,school,Donegal Street,Islington,,London,London,N1 9QG,51.5329007,-0.114072,2020
Anglesey Primary Academy,,,,15W,,school,AET School Direct - South West,Academies Enterprise Trust,,,,,52.7988113,-1.6439775,2020
Anglian Gateway Teaching Schools Alliance,,,,1JD,,school,Bottisham Village College,Lode Road,,Cambridgeshire,Bottisham,CB25 9DL,52.225397,0.255372,2020
Anglia Ruskin University,,,,A60,,hei,Anglia Ruskin University,Bishop Hall Lane,,Essex,Chelmsford,CM1 1SQ,51.7414848,0.4742087,2020
Anglo European School,,,,1SM,,school,Willow Green,,,Ingatestone,,CM4 0DJ,51.6735613,0.385527,2020
Anton Andover Alliance,,,,2AU,,scitt,Anton Junior School,Barlows Lane,,Hampshire,Andover,SP10 2HA,51.2002253,-1.4841683,2020
Anton Junior School,,,,21S,,school,Barlows Lane,,,Hampshire,Andover,SP10 2HA,51.2002253,-1.4841683,2020
Applied Minds Teaching School,,,,12U,,school,Mounts Bay Academy,Boscathnoe Lane,,Cornwall,Penzance,TR18 3JT,50.1290438,-5.5558571,2020
Aquila,,,,2CA,,school,Aquila,Diocese of Canterbury,,"Folkestone, Kent","Unit 33, Folkestone Enterprise Cen",CT19 4RH,51.09507199999999,1.150777,2020
Arch Alliance - All Souls' CE Primary,,,,1XK,,school,C/O All Souls' CE Primary School,Rye Street,,Greater Manchester,Heywood,OL10 4DF,53.597134,-2.2053874,2020
Archbishop Blanch School,,,,2KA,,school,80 Earle Road,,,Merseyside,Liverpool,L7 6HQ,53.3983709,-2.944065,2020
Archbishop Tenison's CofE High School,,,,1G9,,school,Archbishop Tenison's,Selborne Road,,Croydon,,CR0 5JQ,51.369222,-0.08207869999999999,2020
Archbishop Tenison's School,,,,1K6,,school,Lambeth Teaching Schools' Alliance,,,,,,51.4828622,-0.1158144,2020
Arden Alliance,,,,2BU,,school,Arden Academy,Station Road,,West Midlands,Solihull,B93 0PT,52.3846284,-1.7389819,2020
Ark Boulton Teacher Training,,,,2GB,,school,Golden Hillock Road,Sparkhill,,West Midlands,Birmingham,B11 2QG,52.45750659999999,-1.8610818,2020
ARK Teacher Training,,,,1ZU,,scitt,65 Kingsway,,,London,,WC2B 6TD,51.5153584,-0.1193644,2020
ARK Teacher Training,,,,1CS,,school,The Yellow Building,1 Nicholas Road,,London,London,W11 4AN,51.5104516,-0.2186575,2020
ArrowITT,,,,1DD,,school,Sycamore Drive,Bishopdown,,Salisbury,,SP1 3GZ,51.09039,-1.7817538,2020
Arthur Mellows Village College,,,,1JN,,school,Teach East SCITT C/O Arthur Mellows,Helpston Road,,Peterborough,Glinton,PE6 7JX,52.6375925,-0.3027617,2020
Arthur Terry School,,,,1QN,,school,Kittoe Road,Four Oaks,,West Midlands,Sutton Coldfield,B74 4RZ,52.589201,-1.8356073,2020
Ashbourne Dove Valley TSA,,,,2BE,,school,Osmaston C of E Primary School,"Moor Lane, Osmaston",,Derbyshire,Ashbourne,DE6 1LW,52.9925959,-1.7050641,2020
Ashcroft Technology Academy,,,,1P9,,school,Vice Principal,Ashcroft Technology Academy,,London,100 West Hill,SW15 2UT,51.4562687,-0.2076751,2020
Ashfield School ITT,,,,2L9,,school,Ashfield School,Sutton Road,,Nottinghamshire,Kirkby in Ashfield,NG178HP,53.1093302,-1.2691702,2020
Ash Field Teaching School Alliance School Direct,,,,194,,school,Broad Avenue,Evington,,East Midlands,"Leicester, Leicestershire",LE5 4PY,52.62919979999999,-1.0862023,2020
Ashford Oaks Community Primary School,,,,1VR,,school,Oak Tree Road,,,Ashford,,TN23 4QR,51.14134319999999,0.8562742999999999,2020
Ashford Teaching Alliance,,,,19C,,school,Sandling Road,Saltwood,,Kent,Hythe,CT21 4HL,51.081328,1.0672837,2020
Ash Green Community Primary School,,,,1DM,,school,Mixenden Road,Mixenden,,Halifax,,HX2 8QD,53.7492808,-1.9071914,2020
Ashlawn Teaching School,,,,1XO,,school,Ashlawn Road,,,Warwickshire,Rugby,CV22 5ET,52.3565949,-1.2320255,2020
Ashley CofE Aided Primary School,,,,22M,,school,Ashley Road,,,Surrey,Walton-on-Thames,KT12 1HX,51.3836066,-0.4179312,2020
Ashmead Combined School,,,,289,,school,Ashmead School,Cole Road,,Buckinghamshire,Aylesbury,HP21 8SU,51.80189319999999,-0.8202984999999999,2020
Ashmole Academy (North London Teaching Alliance),,,,1P2,,school,"Ashmole Academy (North London Teaching School Alliance) ","Cecil Road ",,,"London ",N14 5RJ,51.6302337,-0.1330274,2020
