operating_name,legal_name,ukprn,urn,provider_code,accredited_provider_number,provider_type,address1,address2,address3,address4,town,postcode,latitude,longitude,academic_year_code
2Schools Consortium,,10045988,,T92,,scitt,Oakthorpe Primary School,c/o Tile Kiln Lane,,London,Palmers Green,N13 6BY,51.6139603,-0.09272129999999999,2021
AA Teamworks West Yorkshire SCITT,,10032342,,2AT,,scitt,West Vale Primary School," Stainland Road, Greetland,",,West Yorkshire,Halifax,HX4 8LS,53.6896047,-1.8706233,2021
Abacus Primary School,,10074189,,4Y1,,,,,,,,,,,2021
Abbey Infants' School,,10034923,136988,153,,school,Federation of Abbey Schools,Cleveland Terrace,,Co. Durham,Darlington,DL3 8JA,54.5218773,-1.5759175,2021
Abbey MAT Primary Alliance,,,,2DQ,,school,Northolme Avenue,West Park,,Leeds,,LS16 5QR,53.832763,-1.597471,2021
Abbey Primary Community School,,,,2HO,,school,Abbey Primary Community School,109 Ross Walk,,Leicestershire,Leicester,LE4 5HH,52.6525522,-1.1244242,2021
Abraham Darby Academy,,,,159,,school,Iron Bridge Road,Madeley,,Telford,,TF7 5HX,52.6334559,-2.4676684,2021
Abraham Moss High School,,,,1V2,,school,Crescent Road,Crumpsall,,Manchester,,M8 5UF,53.5115944,-2.2360726,2021
Academies Enterprise Trust: Eastern,,,,2CG,,school,AET School Direct - Eastern,Academies Enterprise Trust,,London,"3rd Floor, 183 Eversholt Street",NW1 1BU,51.5320268,-0.1361007,2021
Academies Enterprise Trust: London,,,,2CH,,school,Academies Enterprise Trust,"3rd Floor, 183 Eversholt Street",,London,London,NW1 1BU,51.5320268,-0.1361007,2021
Academies Enterprise Trust: North East,,,,2CL,,school,Academies Enterprise Trust,"3rd Floor, 183 Eversholt Street",,London,London,NW1 1BU,51.5319175,-0.1359488,2021
Academies Enterprise Trust: South East,,,,2CF,,school,Academies Enterprise Trust,"3rd Floor, 183 Eversholt Street",,London,London,NW1 1BU,51.5320268,-0.1361007,2021
Academies Enterprise Trust: West Midlands,,,,2CJ,,school,Academies Enterprise Trust,"3rd Floor, 183 Eversholt Street",,London,London,NW1 1BU,51.5320268,-0.1361007,2021
Academies Enterprise Trust: Yorkshire & Humber,,,,2CK,,school,Academies Enterprise Trust,"3rd Floor, 183 Eversholt Street",,London,London,NW1 1BU,51.5320268,-0.1361007,2021
Academy Transformation Trust,,,,1OE,,school,1 Victoria Square,,,,Bimingham,B1 1BD,52.4898442,-1.9117758,2021
Achieve with TELA,,,,1R3,,school,"Station Road ","Broughton Astley ",,"Leicestershire ","Leicester ",LE9 6PT,52.5298145,-1.2225208,2021
Acklam Grange Teaching School,,,,2FD,,school,Lodore Grove,,,,Middlesbrough,TS5 8PB,54.5448792,-1.2638728,2021
Acorns Early Years Training Centre,,,,2CV,,school,Acorns Teaching School Alliance,Holwell Road,,Hertfordshire,Welwyn Garden City,AL7 3RP,51.7936309,-0.1958663,2021
Active Teacher Training,,,,2KL,,school,Cromwell Community College,Wenny Road,,Cambridgeshire,Chatteris,PE16 6UU,52.4501005,0.0527753,2021
Advance Learning Partnership,,,,2AL,,school,Advance Learning Partnership," Whitworth Lane",,Durham,Spennymoor,DL16 7LN,54.6950236,-1.6144219,2021
Affinity Teaching School Alliance (Somerset),,,,2DO,,school,The Castle School,Wellington Road,,Somerset,Taunton,TA1 5AU,51.016938,-3.1173193,2021
Agnus Dei Teaching School Alliance,,,,2BD,,school,Boleyn Road,Forest Gate,,,London,E7 9QD,51.5388875,0.0245491,2021
AIM Alliance Schools,,,,2FR,,school,Spur Road,,,London,Edgware,HA8 8DE,51.6227881,-0.2902603,2021
Aireborough Learning Partnership (Queensway Primary School),,,,29K,,school,Coppice Wood Ave,Yeadon,,,Leeds,LS19 7LF,53.872845,-1.6927024,2021
Aireborough Partnership,,,,2JF,,school,Rawdon St. Peter's Primary School,Town Street,,Leeds,Rawdon,LS19 6PP,53.8500804,-1.6704895,2021
Alban Federation,,10058506,,1MN,,school,c/o Sandringham School,The Ridgeway,,Herts,St Albans,AL4 9NX,51.7703158,-0.3067366,2021
Alderman White School and Language College,,,,22E,,school,Chilwell Lane,Bramcote,,Nottinghamshire,Nottingham,NG9 3DU,52.9277673,-1.2404443,2021
Alderwood School,,,,175,,school,Belle Vue Road,,,Hampshire,Aldershot,GU12 4RZ,51.2484924,-0.7443375,2021
Alfreton Nursery School,,,,2C2,,school,Stanton Close,Alfreton,,Derbyshire,Derby,DE553SH,53.093613,-1.388254,2021
