operating_name,legal_name,ukprn,urn,provider_code,accredited_provider_number,provider_type,address1,address2,address3,address4,town,postcode,latitude,longitude,academic_year_code
All Hallows Catholic College,,10040002,139139,1LT,,school,All Hallows Catholic College,Brooklands Ave,,Macclesfield,,SK11 8LB,53.2559602,-2.1428604,2021
All Hallows Catholic School,,10000215,125315,1DQ,,school,Weybourne Road,,,Surrey,Farnham,GU9 9HF,51.2346105,-0.7744727,2021
Alliance of Leading Learning,,,,1HQ,,school,Morda Road,,,Shropshire,Oswestry,SY11 2AR,52.8519064,-3.0593143,2021
All Saints Church of England Aided Junior School,,10078529,116358,17S,,school,All Saints C of E Junior School,Leawood Road,,Hampshire,Fleet,GU51 5AJ,51.2752339,-0.8559308,2021
All Saints RC School,,10000225,121720,2KH,,school,All Saints RC School,Mill Mount Lane,,North Yorkshire,York,YO24 1BJ,53.9514365,-1.0942545,2021
Alperton Community School,,10038632,138610,1KR,,school,Alperton Community School,Stanley Avenue,,Brent,Alperton,HA0 4JE,51.5434804,-0.2926648,2021
Altius Alliance,,10054410,,24R,,scitt,Cheadle Hulme High School,Woods Lane,,Cheshire,Cheadle Hulme,SK8 7JY,53.3658939,-2.1876031,2021
Alton Schools Teaching Alliance,,,,2BY,,school,School Road,c/o Rowledge C oF E Primary School,,Hampshire,Rowledge,GU10 4BW,51.1834047,-0.8268549,2021
Altrincham Grammar School For Girls,,10035168,137289,1JT,,school,Cavendish Road,Bowdon,,Altrincham,,WA14 2NL,53.3818574,-2.3596009,2021
Ambitions Training School,,10003614,137998,135,,school,Queen's Park Academy,East Way,,Dorset,Bournemouth,BH8 9PU,50.7477593,-1.8600495,2021
Amwell View School,,10014882,117684,1AC,,school,Station Road,,,Herts,Stanstead Abbotts,SG12 8EH,51.786578,-0.002803,2021
Angel Islington Teaching School Alliance,,,,2BZ,,school,Donegal Street,Islington,,London,London,N1 9QG,51.5329007,-0.114072,2021
Anglesey Primary Academy,,,,15W,,school,AET School Direct - South West,Academies Enterprise Trust,,,,,52.7988113,-1.6439775,2021
Anglian Gateway Teaching Schools Alliance,,,,1JD,,school,Bottisham Village College,Lode Road,,Cambridgeshire,Bottisham,CB25 9DL,52.225397,0.255372,2021
Anglia Ruskin University,,10000291,133803,A60,,hei,Anglia Ruskin University,Bishop Hall Lane,,Essex,Chelmsford,CM1 1SQ,51.7414848,0.4742087,2021
Anglo European School,,10035817,137727,1SM,,school,Willow Green,,,Ingatestone,,CM4 0DJ,51.6735613,0.385527,2021
Anton Junior School,,10052469,115854,21S,,school,Barlows Lane,,,Hampshire,Andover,SP10 2HA,51.2002253,-1.4841683,2021
Aquila,,,,2CA,,school,Aquila,Diocese of Canterbury,,"Folkestone, Kent","Unit 33, Folkestone Enterprise Cen",CT19 4RH,51.095072,1.150777,2021
Arch Alliance - All Souls' CE Primary,,,,1XK,,school,C/O All Souls' CE Primary School,Rye Street,,Greater Manchester,Heywood,OL10 4DF,53.597134,-2.2053874,2021
Archbishop Blanch School,,10000340,104705,2KA,,school,Archbishop Blanch School,80 Earle Road,,Merseyside,Liverpool,L7 6HQ,53.3983709,-2.944065,2021
Archbishop Tenison's CofE High School,,10000344,101811,1G9,,school,Archbishop Tenison's,Selborne Road,,Croydon,,CR0 5JQ,51.369222,-0.0820787,2021
Archbishop Tenison's School,,,,1K6,,school,Lambeth Teaching Schools' Alliance,,,,,,51.4828622,-0.1158144,2021
Arden Alliance,,,36333,2BU,,school,Arden Academy,Station Road,,West Midlands,Solihull,B93 0PT,52.3846284,-1.7389819,2021
Ark Boulton Teacher Training,,,,2GB,,school,Golden Hillock Road,Sparkhill,,West Midlands,Birmingham,B11 2QG,52.4575066,-1.8610818,2021
ARK Teacher Training,,10044534,,1CS,,school,The Yellow Building,1 Nicholas Road,,London,London,W114AN,51.5104516,-0.2186575,2021
ArrowITT,,,,1DD,,school,Sycamore Drive,Bishopdown,,Salisbury,,SP1 3GZ,51.09039,-1.7817538,2021
Arthur Mellows Village College,,10031362,136266,1JN,,school,Teach East SCITT C/O Arthur Mellows,Helpston Road,,Peterborough,Glinton,PE6 7JX,52.6375925,-0.3027617,2021
Arthur Terry School,,10034759,,1QN,,school,Kittoe Road,Four Oaks,,West Midlands,Sutton Coldfield,B74 4RZ,52.589201,-1.8356073,2021
Ashbourne Dove Valley TSA,,,,2BE,,school,Osmaston C of E Primary School,"Moor Lane, Osmaston",,Derbyshire,Ashbourne,DE6 1LW,52.9925959,-1.7050641,2021
Ashcroft Technology Academy,,10021078,135316,1P9,,school,Vice Principal,Ashcroft Technology Academy,,London,100 West Hill,SW15 2UT,51.4562687,-0.2076751,2021
Ash Field Academy School Direct,,,,194,,school,Broad Avenue,Evington,,East Midlands,"Leicester, Leicestershire",LE5 4PY,52.62919979999999,-1.0862023,2021
Ashfield School ITT,,,,2L9,,school,Ashfield School,Sutton Road,,Nottinghamshire,Kirkby in Ashfield,NG178HP,53.1093302,-1.2691702,2021
Ashford Oaks Community Primary School,,10071720,135125,1VR,,school,Oak Tree Road,,,Ashford,,TN23 4QR,51.1413432,0.8562743,2021
Ashford Teaching Alliance,,,,19C,,school,Sandling Road,Saltwood,,Kent,Hythe,CT21 4HL,51.081328,1.0672837,2021
Ash Green Community Primary School,,10075633,107534,1DM,,school,Mixenden Road,Mixenden,,Halifax,,HX2 8QD,53.7492808,-1.9071914,2021
Ashley CofE Aided Primary School,,,,22M,,school,Ashley Road,,,Surrey,Walton-on-Thames,KT12 1HX,51.3836066,-0.4179312,2021
Ashmead Combined School,,10069370,110356,289,,school,Ashmead School,Cole Road,,Buckinghamshire,Aylesbury,HP21 8SU,51.8018932,-0.8202985,2021
Ashmole Academy (North London Teaching Alliance),,,,1P2,,school,"Ashmole Academy  (North London Teaching School Alliance) ","Cecil  Road ",,,"London ",N14 5RJ,51.6302337,-0.1330274,2021
Ashton-on-Mersey School,,10037238,138123,164,,school,Cecil Avenue,,,Sale,,M33 5BP,53.4191179,-2.3398147,2021
Ashton on Mersey School SCITT,,10055366,,24L,,scitt,Cecil Avenue,,,Cheshire,Sale,M33 5BP,53.4189389,-2.3394249,2021
Ashton Teacher Training Partnership,,,,29O,,school,Ashton Sixth Form College,Darnton Road,,Greater Manchester,Ashton-under-Lyne,OL6 9RL,53.4915466,-2.0760181,2021
Aspirational Teaching Alliance of St. Helens,,,,1LA,,school,Ashton Road,,,Lancashire,Newton-leWillows,WA12 0AD,53.4617418,-2.6250103,2021
Aspire Community Trust,,,,2X3,,school,"Swaythling Primary School, Mayfield Road, Southampton",,,Hampshire,Southampton,SO17 3SZ,50.9365709,-1.389467,2021
Aspire Education Alliance,,,,27K,,school,"Warren Junior School, Gordon Road",Chadwell Heath,,Essex,Romford,RM6 6DA,51.5762847,0.1423888,2021
Aspirer School Direct,,,,1XQ,,school,Ash Grove Academy,Belgrave Rd,,Cheshire,Macclesfield,SK117TF,53.2442747,-2.1324902,2021
Aspire Teaching Alliance,,,,28R,,school,Aspire Teaching Alliance,"c/o Overton CE Primary, Court Drove",,Hampshire,Overton,RG25 3ES,51.2478324,-1.2698911,2021
Aspire Teaching Trust,,,,2HB,,school,Aspire Teaching Trust,Unit 20,,Cornwall,"St Austell Business Park,StAustell,",PL25 4FD,50.3586214,-4.7821564,2021
ASSET Education,,,,146,,school,St Helen's Primary School,Woodbridge Road,,Suffolk,Ipswich,IP4 2LT,52.0575204,1.1653242,2021
Associated Merseyside Partnership SCITT,,10055360,,25F,,scitt,Deyes High School,Deyes Lane,,Merseyside,Maghull,L31 6DE,53.5131069,-2.9393576,2021
Aston Community Education Trust,,10005790,136718,17U,,school,Aughton Road,Swallownest,,South Yorkshire,Sheffield,S26 4SF,53.3689797,-1.3212167,2021
Aston Manor Academy,,10034151,136882,1F2,,school,Phillips Street,Aston,,West Midlands,Birmingham,B6 4PZ,52.4958679,-1.8897936,2021
Astor College (A Specialist College for the Arts),,,,13X,,school,Astor College,Astor Avenue,,Dover,,CT17 0AS,51.127013,1.2898443,2021
Astra Amersham Hub,,10032610,,1MP,,school,Dr Challoner's Grammar School,Chesham Rd,,Buckinghamshire,Amersham,HP6 5HA,51.6761692,-0.6090415,2021
Astra Aylesbury Hub,,,,2KM,,school,Aylesbury High School,Walton Road,,Buckinghamshire,Aylesbury,HP21 7SX,51.8125456,-0.8029826,2021
Astra Marlow Hub,,,,2JH,,school,West Street,,,Buckinghamshire,Marlow,SL7 2BR,51.5702557,-0.7822534,2021
Astra SCITT,,10032610,,28E,,scitt,Dr Challoner's Grammar School,Chesham Rd,,Buckinghamshire,Amersham,HP6 5HA,51.6761692,-0.6090415,2021
Atlantic Coast Cooperative Trust,,,,1ZS,,school,Woolsery Primary School,Woolsery,,Devon,Bideford,EX39 5QS,50.9641665,-4.3776807,2021
Attleborough Academy,,10044478,140534,2GG,,school,Attleborough Academy Partnership,9 Norwich Road,,Norfolk,Attleborough,NR17 2AJ,52.5194945,1.0191119,2021
ATT Partnership,,,,2CZ,,school,MCA,Bury Road,,Suffolk,Mildenhall,IP28 7HT,52.3422905,0.5264574,2021
Aurum Schools Partnership,,,,1X2,,school,School Lane,Washingborough,,Lincolnshire,Lincoln,LN4 1BW,53.2234028,-0.4705654,2021
Avenue Primary Academy,,10053779,142177,1J3,,school,Avenue Road,Belmont,,Surrey,Sutton,SM2 6JE,51.3463601,-0.2041271,2021
Axbridge C of E First School Academy,,10005959,,3J9,,school,Moorland Street,,,Somerset,Axbridge,BS23 2UX,51.2858873,-2.8170486,2021
Balcarras School,,10032991,136474,14B,,school,East End Road,Charlton Kings,,Gloucestershire,Cheltenham,GL53 8QF,51.8814114,-2.0436998,2021
Balksbury Infant School,,10075345,116063,15B,,school,Balksbury Infant School,Floral Way,,Hants,Andover,SP10 3QP,51.2039035,-1.5022307,2021
Bankside Primary School,,10078387,107901,15L,,school,Shepherds Lane,,,Leeds,,LS8 5AW,53.8148688,-1.5219816,2021
Bannockburn Primary School,,,,2E2,,school,Plumstead High Street,,,London,London,SE18 1HE,51.4871738,0.0946181,2021
Barr Beacon School,,10034154,136885,16T,,school,Old Hall Lane,Aldridge,,West Midlands,Walsall,WS9 0RF,52.561104,-1.915301,2021
Barr Beacon SCITT,,10053216,,2AX,,scitt,Barr Beacon SCITT,Old Hall Lane,,West Midlands,Walsall,WS9 0RF,52.561104,-1.915301,2021
Barrow CEVC Primary School,,,,1MJ,,school,"The SCITT Centre University of Suffolk Ipswich ",,,Suffolk,Ipswich,IP4 1QJ,52.0522252,1.1633991,2021
Basingstoke Alliance SCITT,,10034865,,1KH,,school,Dove House School,Sutton Road,,Hampshire,Basingstoke,RG21 5SU,51.2748008,-1.0869765,2021
Bath Spa University,,10000571,133790,B20,,hei,Newton Park Campus,Newton St Loe,,Bath and North East Somerset,Bath,BA2 9BN,51.3755553,-2.4382603,2021
Baylis Court School,,10034586,137259,1T4,,school,Baylis Court School,Gloucester Avenue,,Slough,,SL1 3AH,51.5248436,-0.6095275,2021
BBL Teacher Training,,10067010,,4A7,,,,,,,,,51.4556883,7.016546099999999,2021
BDAT ITT in partnership with Gorse SCITT,,10060130,,3G1,,school,"Bradford Diocesan Academies Trust ","2nd Floor Jade Building, Albion Mills, Albion Road ",,Yorkshire,Bradford,BD10 9TQ,53.833071,-1.718459,2021
Beacon Community College,,,,13M,,school,East Beeches Road,,,Crowborough,,TN6 2AS,51.0552305,0.1725617,2021
Beal High School (NELTA),,10046736,,1NA,,school,Beal High School,Woodford Bridge Road,,Essex,Ilford,IG45LP,51.5860169,0.0517167,2021
Beatrix Potter Primary School,,10046788,100997,199,,school,Beatrix Potter Primary School,Magdalen Road,,London,Earlsfield,SW18 3ER,51.4439835,-0.1822936,2021
BEC Teacher Training,,10058882,,B28,,scitt,c/o The Bromfords School,Grange Avenue,,Essex,Wickford,SS12 0LZ,51.6047131,0.5086670999999999,2021
Bedgrove Infant School,,10078291,110282,1YP,,school,Ingram Avenue,,,,Aylesbury,HP21 9DJ,51.8058812,-0.780006,2021
Bedlington West End First School,,,,1BA,,school,Ridge Terrace,,,Bedlington,,NE22 6EB,55.1320891,-1.6021572,2021
Beech HIll,,,,14G,,school,Linhope Road,West Denton,,Newcastle-upon-Tyne,Newcastle upon Tyne,NE5 2LW,54.9942855,-1.6918836,2021
Beech Hill Junior and Infant School,,,,13H,,school,Mount Pleasant Avenue,,,Halifax,,HX1 5TN,53.7269344,-1.8700016,2021
Belfairs Academy,,10032853,,1AV,,school,Essex and Thames SCITT,"Runwell CP School, Canwedon Gardens",,Essex,Wickford,SS11 7BJ,51.549795,0.6391255,2021
Belleville Primary School,,10035480,137563,1LY,,school,Belleville Primary School,Webbs Road,,London,Battersea,SW11 6PR,51.4568836,-0.1643668,2021
Belle Vue Girls' Academy,,10037038,138087,2G4,,school,Belle Vue Girls' Academy,"Thorn Lane, Bingley Road",,West Yorkshire,Bradford,BD9 6NA,53.8200767,-1.8132765,2021
Belle Vue Infant School,,,,2BM,,school,Belle Vue Road,,,Hampshire,Aldershot,GU12 4RZ,51.2484924,-0.7443375,2021
Bemrose School,,,,16Q,,school,The Bemrose School,Uttoxeter New Road,,Derby,,DE22 3HU,52.9168797,-1.5015335,2021
Benfield Primary School,,10072137,114412,2FH,,school,Benfield Primary School,"255, Old Shoreham Road",,Sussex,Brighton,BN41 1XS,50.8376095,-0.2094359,2021
Benfleet Teaching School Alliance,,,,1JH,,school,Croft Road,,,Essex,Benfleet,SS7 5RN,51.5637002,0.5536581,2021
Bengeworth Multi-Academy Trust,,,,2JC,,school,Bengeworth Multi-Academy Trust,Kings Road,,Worcestershire,Evesham,WR11 3EU,52.0954818,-1.9315199,2021
Bennett Memorial Diocesan School,,10033233,136603,1KU,,school,Bennett Memorial Diocesan School,Culverden Down,,Kent,Tunbridge Wells,TN4 9SH,51.1429466,0.2483522,2021
Bensham Manor School,,,,1RS,,school,Change Through Learning,Teaching School Alliance,,Thornton Heath,c/o St. James the Great,CR7 8HJ,51.4063173,-0.1056761,2021
Benton Dene School,,10077003,108655,18O,,school,Hailsham Avenue,,,Tyne and Wear,Longbenton,NE12 8fd,55.0197687,-1.5728151,2021
Berkshire Teaching Alliance,,,,26M,,school,Berkshire Teaching Alliance,"Brookfields School, Sage Road",,Berkshire,Reading,RG31 6SW,51.4731427,-1.0467431,2021
Berkshire Teaching School Alliance,,,,1Y1,,school,Maiden Erlegh School,Silverdale Road,,Reading,Earley,RG6 7HS,51.437245,-0.9249447,2021
Bethnal Green Academy,,,,1CJ,,school,Gosset Street,Bethnal Green,,London,,E2 6NW,51.527743,-0.0705126,2021
Bexley Teaching School Alliance,,,,1HE,,school,Bexley Teaching School Alliance,Bedonwell Infant and Nursery School,,"Belvedere, Kent",Bedonwell Road,DA17 5PF,51.4797067,0.1335376,2021
Bexton Primary School,,10083900,147133,17R,,school,Bexton Primary School,Blackhill Lane,,Knutsford,,WA16 9DB,53.2933412,-2.376378,2021
BHSSA,,,,1KN,,school,Hove Park School,Hangleton Way,,East Sussex,Hove,BN3 8AA,50.844912,-0.2018483,2021
Biddenham Upper School and Sports College,,,,2DR,,school,Biddenham Turn,,,Bedford,,MK40 4AZ,52.1369024,-0.4968279,2021
Biddulph High School,,10035123,137356,14K,,school,Conway Road,Knypersley,,Stoke-on-Trent,Biddulph,ST8 7AR,53.1055184,-2.1693239,2021
Billericay School,,,,1PT,,school,c/o The Bromfords School,Grange Avenue,,Essex,Wickford,SS12 0LZ,51.6047131,0.5086671,2021
Bilton School,,10066891,145575,1NS,,school,Bilton School,Lawford Lane,,,Rugby,CV22 7JT,52.3630345,-1.2965326,2021
Bingley Grammar School Direct,,,,2BP,,school,Bingley Grammar School,Keighley Road,,West Yorkshire,Bingley,BD16 2RS,53.8559904,-1.8461186,2021
Binstead Primary School,,,,1FB,,school,The Bay CE Primary School,Winchester Park Road,,Isle of Wight,Sandown,PO369BA,50.657378,-1.1587376,2021
Birches Head High School,,,,1JP,,school,TILT - Birches Head Academy,Birches Head Road,,Stoke-on-Trent,Hanley,ST2 8DD,53.0396575,-2.1519742,2021
Birkenhead North Schools Partnership,,,,2F7,,school,Our Lady & St Edward's Catholic Pri,Price Street,,Merseyside,Birkenhead,CH41 8DU,53.3998418,-3.0409598,2021
Birmingham City University,,10007140,133788,B25,,hei,15 Bartholomew Row,City Centre,,West Midlands,Birmingham,B5 5JU,52.4832516,-1.8849169,2021
Birmingham Nursery Schools Teaching School Alliance,,,,2D8,,school,Kings Norton Nursery School,Westhill Road,,West Midlands,Birmingham,B38 8SY,52.412448,-1.9352142,2021
Birmingham Primary Training Partnership,,,,226,,school,Anglesey Street,,,West Midlands,Birmingham,B19 1RA,52.4995158,-1.9103003,2021
Birmingham Primary Training Partnership SCITT,,,,24F,,school,c/o Ninestiles School,Hartfield Crescent,,Birmingham,Acocks Green,B27 7QG,52.4394688,-1.8337104,2021
Bishop Bronescombe CofE School,,10044297,140465,2LQ,,school,84 Boscoppa Road,St Austell,,,Cornwall,PL25 3DT,50.347518,-4.7600763,2021
Bishop Challoner Training School,,,,1K2,,school,Challoner House,21 Institute Road,,Birmingham,Kings Heath,B14 7EG,52.4330497,-1.8904939,2021
Bishop Grosseteste University,,10007811,133835,B38,,hei,Longdales Road,,,Lincolnshire,Lincoln,LN1 3DY,53.2438226,-0.5364247,2021
Bishop Luffa,,,,1PE,,school,Westgate,,,West Sussex,Chichester,PO19 3HP,50.838843,-0.798094,2021
Bishop Ramsey CE School,,,,1E5,,school,Hume Way,,,Middlesex,Ruislip,HA4 8EE,51.5792096,-0.4080951,2021
Bishop Rawstorne School Direct Programme,,10034569,137296,18C,,school,Highfield Road,Croston,,Lancashire,Leyland,PR6 7JZ,53.661729,-2.76925,2021
Bishop's Hatfield Girls' School,,10035970,137757,1RN,,school,Woods Avenue,,,Hatfield,,AL10 8NL,51.7587996,-0.226604,2021
Bishop's Stortford Education Trust (BSET) SCITT,,10059068,,13E,,school,BSET SCITT,Leventhorpe School,,Sawbridgeworth,Cambridge Road,CM21 9BY,51.8206729,0.1491952,2021
Bishop's Stortford SCITT,,10059068,,26T,,scitt,c/o Leventhorpe,Cambridge Road,,"Hertfordshire ",Sawbridgeworth,CM21 9BY,51.8206729,0.1491952,2021
Bishop Wheeler Catholic Academy Trust Professional Development Partnership (BWCAT Partnership),,,,1QD,,school,St Mary's Teaching School,Broadgate Lane,,Leeds,Horsforth,LS18 5AB,53.8399245,-1.6320481,2021
Bishop Winnington-Ingram CE Primary,,,,1U3,,school,Bishop Winnington-Ingram Primary,Southcote Rise,,Ruislip,,HA4 7LW,51.5778061,-0.4345489,2021
Bitterne Park Teacher Training Alliance,,10014998,116458,1F6,,school,Bitterne Park School,Dimond Road,,Southampton,Bitterne Park,SO18 1BU,50.9301869,-1.369959,2021
Blackburn Team Alliance,,,,1UC,,school,Blackburn TEAM Alliance School Direct,"Wensley Fold CE Primary Academy, Manor Road",,Lancashire,Blackburn,BB2 6LX,53.7480125,-2.5067962,2021
Blackburn The Redeemer CofE Primary,,10074157,133987,1GS,,school,Jack Walker Way,Fernhurst Farm,,Blackburn,,BB2 4JJ,53.7218694,-2.491806,2021
Blackburn with Darwen Alliance,,,,1G7,,school,Darwen Aldridge Community Academy,Sudell Road,,Lancashire,Darwen,bb3 3hd,53.6940133,-2.4641314,2021
Blackfriars Teaching School Alliance,,,,1JA,,school,Blackfriars School,Priory Road,,Staffordshire,Newcastle-Under-Lyme,ST5 2TF,53.0078834,-2.2319754,2021
Black Pear Trust Alliance,,,,2HC,,school,Black Pear Trust Alliance,Hollymount School,,Worcester,Hollymount Road,WR4 9SG,52.2010953,-2.2002866,2021
Blackpool Sea View Trust School Direct ITT,,,,1XH,,school,Park Community Academy,158 Whitegate Drive,,Lancashire,Blackpool,FY3 9HF,53.8119694,-3.0331116,2021
Blessed George Napier Catholic School and Sports College,,,,287,,school,Blessed George Napier School,Addison Road,,Oxfordshire,Banbury,OX16 9DG,52.0484774,-1.3404579,2021
Blessed Thomas Holford Catholic College,,10015044,106376,1YR,,school,Urban Road,,,Cheshire,Altrincham,WA15 8HT,53.3870231,-2.3415212,2021
BLT SCITT,,,,25L,,school,The Hayesbrook School,Brook Street,,Kent,Tonbridge,TN9 2PH,51.1880529,0.260587,2021
Bluecoat Academy,,10052837,,12W,,school,Bluecoat SCITT Alliance Nottingham,Aspley Lane,,Nottingham,Nottingham,NG8 5GY,52.9694319,-1.1938616,2021
Bluecoat SCITT Alliance Nottingham,,10052837,,1YH,,scitt,Bluecoat SCITT Alliance Nottingham,"C/O Bluecoat Aspley Academy, Aspley Lane",,Nottinghamshire,Nottingham,NG8 5GY,52.9694319,-1.1938616,2021
Blue Kite Academy Trust,,,,2HL,,school,Ferndale Primary and Nursery School,Wiltshire Avenue,,Wiltshire,Swindon,SN2 1NX,51.5722649,-1.7911228,2021
Blue Sky Teaching School,,,,21L,,school,Sacred Heart Primary School,Brays Lane,,,Coventry,CV2 4DW,52.4098183,-1.4798604,2021
Boarshaw Community Primary School,,10070058,105787,2LJ,,school,Stanycliffe Lane,Middleton,,,Manchester,M24 2PB,53.5600663,-2.1834981,2021
Boldmere Teaching School Alliance,,,,13B,,school,Federation of Boldmere Schools,Cofield Road,,Birmingham,Sutton Coldfield,B73 5SD,52.5444434,-1.8446841,2021
Bolingbroke Excellence Alliance,,,,2AK,,school,Barnfield Avenue,,,Runcorn,Murdishaw,WA7 6EP,53.3195326,-2.6710708,2021
Bonneygrove Primary School,,10079529,117366,191,,school,Dark Lane,Cheshunt,,Waltham Cross,,EN7 5ED,51.7025605,-0.0561541,2021
Boorley Park Primary School,,,,2T5,,school,"Boorley Park Primary School, Nairn Road",,,Hampshire,Southampton,SO32 2SH,50.9290362,-1.2738531,2021
Bordesley Green Girls' School TSA,,,,2JS,,school,Bordesley Green Girls' School,Bordesley Green Road,,West Midlands,Birmingham,B9 4TR,52.477858,-1.8569976,2021
Bosco,,,,1KY,,school,Inspire and Bosco Sussex,C/O St Paul's Catholic College,,Burgess Hill,Jane Murray Way,RH15 8GA,50.9660278,-0.1552516,2021
Boston West Primary School,,,,1DN,,school,Sussex Avenue,,,Boston,,PE21 7QG,52.9776102,-0.0518544,2021
Bournemouth Poole & Dorset Teacher Training Partnership,,10055369,,B52,,scitt,"Avon Campus, The Grange School",Redvers Road,,Dorset,Christchurch,BH23 3AU,50.741088,-1.756336,2021
Bourne Westfield (for the Deepings SCITT),,,,2JX,,school,Westbourne Park,,,Lincolnshire,Bourne,PE10 9QS,52.7677143,-0.3898443,2021
Bourne Westfield Primary Academy,,,,23G,,school,The Deepings SCITT,The Deepings School,,Lincs,Deeping St James,PE6 8NF,52.674841,-0.296964,2021
Bournville Village Primary School,,,103445,22T,,school,Linden Road,Bournville,,West Midlands,Birmingham,B30 1JY,52.429573,-1.936638,2021
Bourton Meadow Academy,,10036040,137939,16F,,school," Bourton Meadow Academy",Burleigh Piece,,Buckinghamshire,Buckingham,MK18 7HX,51.9967516,-0.9716873,2021
Bourton Meadow Initial Teacher Training Centre,,10055135,,1WR,,scitt,Bourton Meadow Academy,Burleigh Piece,,Buckinghamshire,Buckingham,MK18 7HX,51.9964062,-0.9714098,2021
Bower Grove School,,10015127,119036,1NF,,school,Bower Grove School,Fant Lane,,Maidstone,,ME16 8NL,51.2665013,0.4885146,2021
