operating_name,legal_name,ukprn,urn,provider_code,accredited_provider_number,provider_type,address1,address2,address3,address4,town,postcode,latitude,longitude,academic_year_code
2Schools Consortium,,,,T92,,scitt,,,,,,,51.9210453,-2.2912503,2019
4Derbyshire Teaching School Alliance,,,,2C4,,school,"C/O Longwood Infant Academy, Wharf",Pinxton,,Nottingham,Pinxton,NG16 6PA,53.0861324,-1.3235365,2019
AA Teamworks West Yorkshire SCITT,,,,2AT,,scitt,"AA Teamworks W Yorks SCITT - The Greetland Academy ","Unit 3, Heath Campus Free School Lane,",,West Yorkshire,Halifax,HX1 2PS,53.6888054,-1.8706621,2019
Abbey Infants' School,,,,153,,school,Federation of Abbey Schools,Cleveland Terrace,,Co. Durham,Darlington,DL3 8JA,54.52187730000001,-1.5759175,2019
Abbey MAT Primary Alliance,,,,2DQ,,school,,,,,,,,,2019
Abbey Primary Community School,,,,2HO,,school,Abbey Primary Community School,109 Ross Walk,,Leicestershire,Leicester,LE4 5HH,52.6525522,-1.1244242,2019
Abraham Darby Academy,,,,159,,school,Iron Bridge Road,Madeley,,Telford,,TF7 5HX,52.63345589999999,-2.4676684,2019
Abraham Moss High School,,,,1V2,,school,Crescent Road,Crumpsall,,Manchester,,M8 5UF,53.5115944,-2.2360726,2019
Academies Enterprise Trust : Eastern,,,,2CG,,school,AET School Direct - Eastern,Academies Enterprise Trust,,London,"3rd Floor, 183 Eversholt Street",NW1 1BU,51.5320268,-0.1361007,2019
Academies Enterprise Trust: London,,,,2CH,,school,Academies Enterprise Trust,"3rd Floor, 183 Eversholt Street",,London,London,NW1 1BU,51.5320268,-0.1361007,2019
Academies Enterprise Trust: North East,,,,2CL,,school,Academies Enterprise Trust,"3rd Floor, 183 Eversholt Street",,London,London,NW1 1BU,51.5319175,-0.1359488,2019
Academies Enterprise Trust: South East,,,,2CF,,school,Academies Enterprise Trust,"3rd Floor, 183 Eversholt Street",,London,London,NW1 1BU,51.5320268,-0.1361007,2019
Academies Enterprise Trust: West Midlands,,,,2CJ,,school,Academies Enterprise Trust,"3rd Floor, 183 Eversholt Street",,London,London,NW1 1BU,51.5320268,-0.1361007,2019
Academies Enterprise Trust: Yorkshire & Humber,,,,2CK,,school,Academies Enterprise Trust,"3rd Floor, 183 Eversholt Street",,London,London,NW1 1BU,51.5320268,-0.1361007,2019
Academy Transformation Trust,,,,1OE,,school,1 Victoria Square,,,,Bimingham,B1 1BD,52.4898442,-1.9117758,2019
Achieve with TELA,,,,1R3,,school,,,,,,,52.5295183,-1.223531,2019
Acklam Grange Teaching School,,,,2FD,,school,,,,,,,54.5448792,-1.2638728,2019
Acorns Teaching School Alliance,,,,2CV,,school,,,,,,,51.7936309,-0.1958663,2019
Affinity Teaching School Alliance (Somerset),,,,2DO,,school,The Castle School,Wellington Road,,Somerset,Taunton,TA1 5AU,51.016938,-3.1173193,2019
Agnus Dei Teaching School Alliance,,,,2BD,,school,,,,,,,51.53888749999999,0.0245491,2019
AIM Alliance Schools,,,,2FR,,school,,,,,,,51.6058063,-0.2718601,2019
Aireborough Learning Partnership (Queensway Primary School),,,,29K,,school,Coppice Wood Ave,Yeadon,,,Leeds,LS19 7LF,53.872845,-1.6927024,2019
Aireborough Partnership,,,,2JF,,school,,,,,,,53.872688,-1.707343,2019
Alban Federation,,,,A46,,school,c/o Sandringham School,The Ridgeway,,Hertfordshire,St Albans,AL4 9NX,51.7703158,-0.3067366,2019
Alban Federation,,,,1MN,,school,,,,,,,51.7703158,-0.3067366,2019
Alderman White School and Language College,,,,22E,,school,Chilwell Lane,Bramcote,,Nottinghamshire,Nottingham,NG9 3DU,52.9277673,-1.2404443,2019
Alfreton Nursery School,,,,2C2,,school,,,,,,,53.093613,-1.388254,2019
All Hallows Catholic College,,,,1LT,,school,All Hallows Catholic College,Brooklands Ave,,Macclesfield,,SK11 8LB,53.2559602,-2.1428604,2019
All Hallows Catholic School,,,,1DQ,,school,Weybourne Road,,,Surrey,Farnham,GU9 9HF,51.2350964,-0.7758296,2019
Alliance for Learning SCITT,,,,G65,,scitt,c/o AGGS,Cavendish Road,,Altrincham,Bowdon,WA14 2NL,53.38185739999999,-2.3596009,2019
Alliance of Leading Learning,,,,1HQ,,school,Morda Road,,,Shropshire,Oswestry,SY11 2AR,52.8519064,-3.0593143,2019
