accredited_provider_name,accredited_provider_code,training_provider_name,training_provider_code,academic_year_code
2Schools Consortium,T92,Oakthorpe Primary School,151,2024
Ambition Teacher Training,2A2,Academy Transformation Trust,7D7,2024
Ambition Teacher Training,2A2,Active Teacher Training,2KL,2024
Ambition Teacher Training,2A2,Advance Teacher Training,D5D,2024
Ambition Teacher Training,2A2,Arbib Education Trust,7A2,2024
Ambition Teacher Training,2A2,Blue Kite Academy Trust,2HL,2024
Ambition Teacher Training,2A2,Cumbria Education Trust,3Q2,2024
Ambition Teacher Training,2A2,Danes Educational Trust,3D3,2024
Ambition Teacher Training,2A2,Dixons Academies Trust,1EP,2024
Ambition Teacher Training,2A2,Learning In Harmony Teacher Training,2H5,2024
Ambition Teacher Training,2A2,LEARN with FA1,3L1,2024
Ambition Teacher Training,2A2,Lime Trust,3L2,2024
Ambition Teacher Training,2A2,London District East Teaching School Hub,5U5,2024
Ambition Teacher Training,2A2,North West London Train to Teach,4W6,2024
Ambition Teacher Training,2A2,North West SCITT,252,2024
Ambition Teacher Training,2A2,North West SHARES SCITT,N83,2024
Ambition Teacher Training,2A2,Pathfinder Schools,4P2,2024
Ambition Teacher Training,2A2,Rise Multi Academy Trust,4R1,2024
Ambition Teacher Training,2A2,Shaw Education Trust,5S3,2024
Ambition Teacher Training,2A2,St Francis & St Clare Catholic MAC,5F3,2024
Ambition Teacher Training,2A2,Teach Kent & Sussex,2EZ,2024
Ambition Teacher Training,2A2,The Bucks Hub Partnership,2FX,2024
ARK Teacher Training,1CS,Academies Enterprise Trust: East,2CG,2024
ARK Teacher Training,1CS,Academies Enterprise Trust: London and South,2CH,2024
ARK Teacher Training,1CS,Academies Enterprise Trust: Midlands,2CJ,2024
ARK Teacher Training,1CS,Academies Enterprise Trust: North,2CK,2024
ARK Teacher Training,1CS,Academies Enterprise Trust: South West,2E1,2024
Arthur Terry SCITT,A67,Arthur Terry School,1QN,2024
Arthur Terry SCITT,A67,Prince Henry’s and South Worcestershire ITT,2ET,2024
Associated Merseyside Partnership SCITT,25F,Ashton Teacher Training Partnership,29O,2024
Associated Merseyside Partnership SCITT,25F,Green Park Primary School,2F6,2024
Associated Merseyside Partnership SCITT,25F,Hudson Primary School,2F5,2024
Associated Merseyside Partnership SCITT,25F,NWAT Futures Hub,5N2,2024
Astra SCITT,28E,Astra Amersham Hub,1MP,2024
Astra SCITT,28E,Astra Aylesbury Primary Hub,5G5,2024
Astra SCITT,28E,Astra Aylesbury Secondary Hub,2KM,2024
Barr Beacon SCITT,2AX,Manor Primary School,1QO,2024
Barr Beacon SCITT,2AX,Ryders Hayes,4T5,2024
Bath Spa University,B20,Brunel University London,B84,2024
Bath Spa University,B20,Excalibur @  St John’s,2BO,2024
Bath Spa University,B20,University of Bolton,8N5,2024
Birmingham City University,B25,Arthur Terry School,1QN,2024
Birmingham City University,B25,Bromsgrove Primary Partnership,2HU,2024
Birmingham City University,B25,Futures Teaching,2KR,2024
Birmingham City University,B25,Greenholm Primary School,19R,2024
Birmingham City University,B25,Riverley Primary School,2LF,2024
Birmingham City University,B25,"Teach Central, formerly RSA Academies'",26A,2024
Birmingham City University,B25,The Lion Alliance,1K1,2024
