accredited_provider_name,accredited_provider_code,training_provider_name,training_provider_code,academic_year_code
Essex Teacher Training,E75,Eastwood Park Academy Trust,2G1,2023
Essex Teacher Training,E75,FIPC Romford Teacher Training Partnership TIR hub,285,2023
Essex Teacher Training,E75,ORTU Trust (Gable Hall),1KM,2023
Essex Teacher Training,E75,Paradigm Trust: Old Ford Primary Academy and Ipswich Academy,1C8,2023
Essex Teacher Training,E75,"St Thomas More's Catholic Primary School, Colchester",1K8,2023
Essex Teacher Training,E75,Woodside Academy,26V,2023
Essex Teacher Training,E75,Zengage Teacher Training Essex,3H5,2023
Exceed SCITT,2EY,Exceed Leeds East and West,27C,2023
Exceed SCITT,2EY,Exceed Partnership,278,2023
Exceed SCITT,2EY,Josie Thirkell Institute of Education,1GW,2023
Exceed SCITT,2EY,Morley Exceed Partnership,2ER,2023
Forest Independent Primary Collegiate SCITT,F82,FIPC Churchfields Junior School TIR hub,2D7,2023
Forest Independent Primary Collegiate SCITT,F82,FIPC Gearies Primary School TIR hub,23D,2023
Forest Independent Primary Collegiate SCITT,F82,FIPC Harlow Teacher Training Partnership hub,1ZH,2023
Forest Independent Primary Collegiate SCITT,F82,FIPC Hazelwood Schools hub,15T,2023
George Abbot SCITT,G12,George Abbot SCITT School Direct,1OV,2023
Gloucestershire Initial Teacher Education Partnership (GITEP),G48,Odyssey Learning Alliance,1ZB,2023
Gloucestershire Initial Teacher Education Partnership (GITEP),G48,The Cotswold Teacher Training Partnership,2EH,2023
"Goldsmiths, University of London",G56,Bohunt Education Trust,1DP,2023
"Goldsmiths, University of London",G56,Catholic Schools' Partnership,134,2023
"Goldsmiths, University of London",G56,Grey Court Training School,22S,2023
"Goldsmiths, University of London",G56,Halstow Primary School,1V5,2023
"Goldsmiths, University of London",G56,John Donne Primary School,1DS,2023
"Goldsmiths, University of London",G56,North London New River Teaching Alliance,1JV,2023
"Goldsmiths, University of London",G56,Redriff Primary School,1U2,2023
"Goldsmiths, University of London",G56,South Thames Early Education Partnership & Goldsmiths University (STEEPtsa),21K,2023
"Goldsmiths, University of London",G56,Teach West London Teaching School Hub,1KV,2023
"Goldsmiths, University of London",G56,The Bridge London TSA,1W6,2023
"GORSE SCITT (Leeds, Bradford, Hull and East Yorkshire)",1N1,BDAT ITT in partnership with Gorse SCITT,3G1,2023
Haybridge Alliance SCITT,2B3,Hales Valley Teaching Hub,18E,2023
Haybridge Alliance SCITT,2B3,Invictus Education Trust,2I2,2023
Haybridge Alliance SCITT,2B3,South Bromsgrove Teacher Training Partnership,19S,2023
Haybridge Alliance SCITT,2B3,Stour Vale School Direct,1FA,2023
Haybridge Alliance SCITT,2B3,"Teach Central, formerly RSA Academies'",26A,2023
Henry Maynard Training E17,2AW,Henry Maynard Primary School,1RR,2023
High Force Education (SCITT),H38,Abbey Infants' School,153,2023
High Force Education (SCITT),H38,Prince Bishops Community Primary School,1LN,2023
Hillingdon SCITT,2B5,Teach West London Teaching School Hub,1KV,2023
Huddersfield Horizon SCITT,2EX,Moor End Academy,1A1,2023
Hull SCITT,25O,St Mary's College,1RU,2023
Inspiring Future Teachers,3Y3,Thinking Horizons (TSAT),1DX,2023
Inspiring Leaders Primary (Leicester and Rutland),1BJ,Inspiring Leaders Primary (Derbyshire),5W1,2023
Keele and North Staffordshire Teacher Education,24J,The Golden Thread Teaching School Hub,155,2023
Kent and Medway Training,K30,Dartford Grammar School,29N,2023
Kent and Medway Training,K30,East Kent Learning Alliance,2DG,2023
Kent and Medway Training,K30,Medway Valley Training Partnership,1Q5,2023
Kent and Medway Training,K30,Saint George's Church of England School,295,2023
Kent and Medway Training,K30,The Leigh Academy,24Q,2023
Kent and Medway Training,K30,Thinking Horizons (TSAT),1DX,2023
King Edward's Consortium,K50,King Edward VI Camp Hill School for Girls,4E1,2023
King's College London (University of London),K60,Beal High School (NELTA),1NA,2023
King's College London (University of London),K60,Catholic Schools' Partnership,134,2023
King's College London (University of London),K60,Grey Court Training School,22S,2023
King's College London (University of London),K60,South East Learning Alliance,1J1,2023
Kirklees and Calderdale SCITT,1WK,Heckmondwike Grammar School,1NZ,2023
Kirklees and Calderdale SCITT,1WK,Yorkshire Anglican Learning and Education Partnership,13J,2023
Lampton LWA SCITT,2AY,Cranford Community College,265,2023
Lampton LWA SCITT,2AY,Lampton Academy,1P8,2023
Lampton LWA SCITT,2AY,Teach West London Teaching School Hub,1KV,2023
Leeds Beckett University,L27,Five Towns ITT Partnership,2FW,2023
Leeds Beckett University,L27,Springboard,2HX,2023
Leeds Beckett University,L27,The Beckfoot School Direct Partnership,1MU,2023
Leeds Beckett University,L27,The Wonder Institute of Education,2HT,2023
Leeds Beckett University,L27,Yorkshire Schools Alliance,15X,2023
Leeds Trinity University,L24,Diocese of Leeds BKCAT Alliance,1ZX,2023
Leeds Trinity University,L24,Dixons Academies Trust,1EP,2023
Leeds Trinity University,L24,St Anthony's Primary Learning Partnership,1Y9,2023
Leeds Trinity University,L24,The Beckfoot School Direct Partnership,1MU,2023
Leeds Trinity University,L24,Valley Trust (formerly TRISIS),2HM,2023
Leeds Trinity University,L24,White Rose Alliance,196,2023
Leeds Trinity University,L24,Yorkshire Schools Alliance,15X,2023
Leeds Trinity University,L24,Yorkshire Special Education Partnership (YSEP),197,2023
Leicester & Leicestershire SCITT,L35,Achieve with TELA,1R3,2023
Leicester & Leicestershire SCITT,L35,Catholic Schools (School Direct),2C9,2023
Leicestershire Secondary SCITT,L33,Achieve with TELA,1R3,2023
Leicestershire Secondary SCITT,L33,Rushey Mead Academy,1MW,2023
Lincolnshire SCITT,25G,Ellison Boulters Church of England Primary School,19X,2023
Lincolnshire SCITT,25G,KYRA,1HA,2023
Lincolnshire SCITT,25G,L.E.A.D. Academy Trust,277,2023
Lincolnshire SCITT,25G,Staniland Academy,27O,2023
Lincolnshire SCITT,25G,The Priory Academy LSST,1F4,2023
Liverpool Hope University,L46,Aspirational Teaching Alliance of St. Helens,1LA,2023
Liverpool Hope University,L46,Liverpool Teacher Development Partnership,2T3,2023
Liverpool Hope University,L46,St Helens ONE - Grange Valley Primary,2KF,2023
Liverpool Hope University,L46,St Patrick's Greater Manchester Alliance,18A,2023
Liverpool Hope University,L46,The Bishop Fraser Trust Bolton  Bury ITT Partnership,18J,2023
Liverpool John Moores University,L51,Cheshire Vale Teaching Support Alliance,26L,2023
Liverpool John Moores University,L51,MAITT (Merseyside Alliance Initial Teacher Training),168,2023
Liverpool John Moores University,L51,North West Learning Partnership,13N,2023
Liverpool John Moores University,L51,Palmerston School,1AE,2023
Liverpool John Moores University,L51,SD at Turton,2BS,2023
Liverpool John Moores University,L51,Teacher Training @ Knutsford,1M1,2023
Liverpool John Moores University,L51,The Heath Consortium,1DO,2023
Liverpool John Moores University,L51,Weatherhead High School,21D,2023
Liverpool John Moores University,L51,Wigan and West Lancashire Catholic School Direct,27Q,2023
Liverpool John Moores University,L51,Wirral Schools Collaboration (Pensby),1ME,2023
London Metropolitan University,L68,Hackney Teaching Schools' Alliance,1V9,2023
London Metropolitan University,L68,The Viridis Schools Partnership,2CN,2023
London Metropolitan University,L68,West London Teacher Training Alliance (Primary),1EL,2023
London South Bank University,L75,Merton Special Training Association,163,2023
Loughborough University,L79,Diverse Association for Professional Learning (formerly TVTSA),12K,2023
Loughborough University,L79,LiFE MAT and Partners School Direct,1A4,2023
Loughborough University,L79,Lionheart Teach,1O8,2023
Loughborough University,L79,Loughborough Learning Alliance,195,2023
Middlesex University,M80,AIM Alliance Schools,2FR,2023
Middlesex University,M80,North London New River Teaching Alliance,1JV,2023
Middlesex University,M80,The Compton School,19P,2023
Mid Essex Initial Teacher Training,M82,Professional Learning Network (Lyons Hall),1JW,2023
Mid Somerset Consortium for Teacher Training,M84,Crispin School with the Mid Somerset Consortium,1OF,2023
NELTA,251,Beal High School (NELTA),1NA,2023
Newman University,N36,Bishop Challoner Training School,1K2,2023
Newman University,N36,Blue Sky,21L,2023
Newman University,N36,Bromsgrove Primary Alliance,2HU,2023
Newman University,N36,Futures Teaching,2KR,2023
Newman University,N36,St John Bosco ITT,1S9,2023
Newman University,N36,Stour Vale School Direct,1FA,2023
Newman University,N36,St Paul's Caritas Christi,242,2023
Newman University,N36,Waverley School Direct,1RH,2023
"NIoT: National Institute of Teaching, founded by the School-Led Development Trust",2N2,NIoT@Harris Initial Teacher Education,1TZ,2023
"NIoT: National Institute of Teaching, founded by the School-Led Development Trust",2N2,NIoT@Oasis Community Learning,7K9,2023
"NIoT: National Institute of Teaching, founded by the School-Led Development Trust",2N2,NIoT@Outwood Grange Academies Trust,1GV,2023
"NIoT: National Institute of Teaching, founded by the School-Led Development Trust",2N2,NIoT@Star Academies,2A6,2023
"NIoT: National Institute of Teaching, founded by the School-Led Development Trust",2N2,NIoT@The White Horse Federation,4W2,2023
"NIoT: National Institute of Teaching, founded by the School-Led Development Trust",2N2,NIoT@Trinity Institute of Education,1YF,2023
"NITE: National Institute of Teaching & Education, part of Coventry University Group",C85,Creative Education Trust,5A1,2023
"NITE: National Institute of Teaching & Education, part of Coventry University Group",C85,E-ACT Academies Trust,1Z1,2023
"NITE: National Institute of Teaching & Education, part of Coventry University Group",C85,Greenwood Academies Trust,1EX,2023
"NITE: National Institute of Teaching & Education, part of Coventry University Group",C85,Haberdashers’ Academies Trust South,1KP,2023
"NITE: National Institute of Teaching & Education, part of Coventry University Group",C85,LiFE MAT and Partners School Direct,1A4,2023
"NITE: National Institute of Teaching & Education, part of Coventry University Group",C85,Oriel ITT Partnership,2LR,2023
"NITE: National Institute of Teaching & Education, part of Coventry University Group",C85,Southam Teaching Alliance,2BN,2023
"NITE: National Institute of Teaching & Education, part of Coventry University Group",C85,The Lion Alliance,1K1,2023
Norfolk Teacher Training Centre,N43,Attleborough Academy,2GG,2023
Norfolk Teacher Training Centre,N43,Sheringham High School,8H6,2023
Northampton Teacher Training Partnership,N42,Northampton School for Boys,16G,2023
North East Partnership SCITT (Physical Education),N55,John Spence Community High School,25W,2023
Northern Lights SCITT,255,Skipton Girls' High School,1QP,2023
North Essex Teacher Training (NETT),N46,NETT,2L4,2023
North Tyneside SCITT,N73,North Tyneside SCITT (New York Primary School Direct),1NB,2023
North Wiltshire SCITT,24U,Blue Kite Academy Trust,2HL,2023
North Wiltshire SCITT,24U,Pickwick Learning,23Z,2023
Nottingham Trent University,N91,Creative Education Trust,5A1,2023
Nottingham Trent University,N91,Diverse Association for Professional Learning (formerly TVTSA),12K,2023
Nottingham Trent University,N91,Greenwood Academies Trust,1EX,2023
Nottingham Trent University,N91,Kirkby Primary Partnership,279,2023
Nottingham Trent University,N91,Lionheart Teach,1O8,2023
Nottingham Trent University,N91,Nottingham Catholic Initial Teacher Training Partnership,1YD,2023
Nottingham Trent University,N91,The Minster Learning Alliance,1EC,2023
Nottingham Trent University,N91,The Rutland Learning Trust,3N6,2023
Oxford Brookes University,O66,The Downland Alliance,236,2023
Partnership London SCITT (PLS),2B1,St Angela's Teacher Training Centre,1XC,2023
Partnership London SCITT (PLS),2B1,St. Edward’s Teacher Training Partnership,1EG,2023
Partnership London SCITT (PLS),2B1,Sydney Russell Teacher Training Centre,1EJ,2023
Pennine Lancashire SCITT,P38,East Lancashire Inclusion Partnership,1NP,2023
Plymouth Marjon University,P63,Bridging the Tamar Learning Alliance,165,2023
Plymouth Marjon University,P63,Dartmoor Teacher Training Partnership,2BT,2023
Plymouth Marjon University,P63,Devon and Cornwall Cooperative Alliance,2HG,2023
Plymouth Marjon University,P63,First Federation Train to Teach,1QR,2023
Plymouth Marjon University,P63,Kernow Initial Teacher Education,21J,2023
Plymouth Marjon University,P63,Learning Academy Partnership,21V,2023
Plymouth Marjon University,P63,North Somerset Teaching Alliance,16Z,2023
Plymouth Marjon University,P63,Plymouth Teachers and Schools Alliance,1T7,2023
Plymouth Marjon University,P63,The Priory Learning Trust,2E3,2023
Poole SCITT,P75,"Linwood Training, Support and Advice",1X3,2023
Poole SCITT,P75,Twynham Learning (School Direct),13Q,2023
Primary Catholic Partnership SCITT (PCP SCITT),P85,CTSA,1N4,2023
Prince Henry's High School & South Worcestershire SCITT,2ET,Bromsgrove Primary Alliance,2HU,2023
Red Kite Teacher Training,2B9,All Saints RC School,2KH,2023
Red Kite Teacher Training,2B9,North Star,269,2023
Red Kite Teacher Training,2B9,The Swaledale Alliance,1FG,2023
Ripley ITT,R23,South Cumbria School Direct,2KS,2023
Roehampton University,R48,Dulwich College,3D1,2023
Roehampton University,R48,Lampton Academy,1P8,2023
Roehampton University,R48,Lilian Baylis Technology School,1ZY,2023
Roehampton University,R48,London South Teaching School Hub,8L5,2023
Roehampton University,R48,PACE Academy Trust,1O1,2023
Roehampton University,R48,Saint John Southworth Enterprise and Research Alliance,15O,2023
Roehampton University,R48,Sharing Excellence Partnership Dunraven School Streatham,1BW,2023
Roehampton University,R48,South East Learning Alliance,1J1,2023
Roehampton University,R48,St George RC School,1NK,2023
Roehampton University,R48,St Marylebone Collaborative,1ET,2023
Roehampton University,R48,Teach Wimbledon,1ZO,2023
Roehampton University,R48,Waldegrave Training Alliance,1FP,2023
Roehampton University,R48,West London Teacher Training Alliance (Primary),1EL,2023
Roehampton University,R48,West London Teacher Training Alliance (Secondary),2BV,2023
Sacred Heart Newcastle SCITT,2BA,Cardinal Hume Catholic School,198,2023
Sacred Heart Newcastle SCITT,2BA,St Mary's Catholic School,2KN,2023
Sacred Heart Newcastle SCITT,2BA,St Thomas More Catholic School,1OO,2023
Services for Education,1WE,Greenholm Primary School,19R,2023
Sheffield Hallam University,S21,Aspirer School Direct,1XQ,2023
Sheffield Hallam University,S21,Aston Community Education Trust,17U,2023
Sheffield Hallam University,S21,Chorus Education Trust and Sheffield Teacher Training Alliance,1N5,2023
Sheffield Hallam University,S21,Delta Academies Trust,1DU,2023
Sheffield Hallam University,S21,Emmanuel Teacher Training Partnership,14U,2023
Sheffield Hallam University,S21,Josie Thirkell Institute of Education,1GW,2023
Sheffield Hallam University,S21,Learners First Schools Partnership,1GX,2023
Sheffield Hallam University,S21,Pathfinder Teaching School Hub,1VU,2023
Sheffield Hallam University,S21,White Rose Alliance,196,2023
Somerset SCITT Consortium,S31,Axbridge C of E First School Academy,3J9,2023
Somerset SCITT Consortium,S31,Extend Learning Academies Network (ELAN),2DT,2023
Somerset SCITT Consortium,S31,Growing Expert Teachers,2AO,2023
South Birmingham SCITT,N32,Colmore Partnership Training School Alliance,19Q,2023
South Birmingham SCITT,N32,Magnificat Partnership,2L1,2023
South Birmingham SCITT,N32,Summit Learning Trust,19O,2023
South West Teacher Training,S66,Brigshaw Learning Partnership,4B1,2023
South West Teacher Training,S66,Exeter Consortium,1QX,2023
South West Teacher Training,S66,Reach Academy Feltham,7K1,2023
Staffordshire University,S72,Congleton education Community Partnership,29W,2023
Staffordshire University,S72,East Cheshire School Direct Partnership,29Q,2023
St. George's Academy Partnership,G15,St George's Academy,24D,2023
"St Mary's University, Twickenham",S64,Bohunt Education Trust,1DP,2023
"St Mary's University, Twickenham",S64,Catholic Schools' Partnership,134,2023
"St Mary's University, Twickenham",S64,Grey Court Training School,22S,2023
"St Mary's University, Twickenham",S64,Saint John Southworth Enterprise and Research Alliance,15O,2023
"St Mary's University, Twickenham",S64,Teach West London Teaching School Hub,1KV,2023
"St Mary's University, Twickenham",S64,Teach Wimbledon,1ZO,2023
"St Mary's University, Twickenham",S64,Waldegrave Training Alliance,1FP,2023
"St Mary's University, Twickenham",S64,West London Teacher Training Alliance (Primary),1EL,2023
"St Mary's University, Twickenham",S64,West London Teacher Training Alliance (Secondary),2BV,2023
Suffolk and Norfolk Primary SCITT,S13,ASSET Education,146,2023
Suffolk and Norfolk Primary SCITT,S13,Barrow CEVC Primary School,1MJ,2023
Suffolk and Norfolk Primary SCITT,S13,Consortium Multi Academy Trust,2J7,2023
Suffolk and Norfolk Primary SCITT,S13,Exning Primary School,1JM,2023
Suffolk and Norfolk Primary SCITT,S13,Fairfield Infant School,1VQ,2023
Suffolk and Norfolk Primary SCITT,S13,Harleston CofE VA Primary School,1DY,2023
Suffolk and Norfolk Primary SCITT,S13,Inclusive Schools Trust,2JE,2023
Suffolk and Norfolk Primary SCITT,S13,St Francis of Assisi Catholic Primary School,2JV,2023
Suffolk and Norfolk Primary SCITT,S13,The Bawburgh School,1JE,2023
Suffolk and Norfolk Primary SCITT,S13,White Woman Lane Junior School,1MH,2023
Suffolk and Norfolk Secondary SCITT,S14,Billericay School,1PT,2023
Suffolk and Norfolk Secondary SCITT,S14,Hartismere School,1GP,2023
Suffolk and Norfolk Secondary SCITT,S14,One Sixth Form College,2M5,2023
Suffolk and Norfolk Secondary SCITT,S14,Thorpe St Andrew School and Sixth Form,1ZN,2023
Suffolk and Norfolk Secondary SCITT,S14,Thurston Community College,2TC,2023
Suffolk and Norfolk Secondary SCITT,S14,William de Ferrers School,2W1,2023
Sutton SCITT,1ZW,Glenthorne High School,17J,2023
Teach First,1TF,BCCET Teacher Training Partnership,2B8,2023
Teach First,1TF,Futures Teaching,2KR,2023
Teach First,1TF,NEAT ITT,1L1,2023
Teach First,1TF,Northamptonshire Teaching School Hub,1QM,2023
Teach First,1TF,STEP Ahead Teaching School Hub,1H1,2023
Teach First,1TF,Tudor Grange Initial Teacher Training,T87,2023
Teaching London: LDBS SCITT,L59,Abacus Belsize Primary School,4A2,2023
Teaching London: LDBS SCITT,L59,"Christ Church Primary School, Hampstead",1VM,2023
Teaching London: LDBS SCITT,L59,Cranford Community College,265,2023
Teaching London: LDBS SCITT,L59,Forty Hill CofE Primary School,2L8,2023
Teaching London: LDBS SCITT,L59,Holy Trinity CofE Primary School,292,2023
Teaching London: LDBS SCITT,L59,Littleton CofE Infant School,2HR,2023
Teaching London: LDBS SCITT,L59,Risley Avenue Primary School,29Y,2023
Teaching London: LDBS SCITT,L59,St Andrews CE Primary School,1VA,2023
Teaching London: LDBS SCITT,L59,St Mary's Bryanston Square,2E4,2023
Teaching London: LDBS SCITT,L59,St Mary's CofE Primary,3S2,2023
Teaching London: LDBS SCITT,L59,St Peter's London Docks CofE Primary School,1V1,2023
Teach Kent & Sussex,2EZ,Bennett Memorial Diocesan School,1KU,2023
Teach Kent & Sussex,2EZ,Claremont Primary School,1TP,2023
Teach SouthEast,2EW,Bosco Sussex,1KY,2023
Teach SouthEast,2EW,Catholic Schools' Partnership,134,2023
Teach SouthEast,2EW,Royal Greenwich Hub,1G2,2023
Teach SouthEast,2EW,Saint John Southworth Enterprise and Research Alliance,15O,2023
Teach SouthEast,2EW,St Polycarp’s Educational Partnership,2EG,2023
Teach SouthEast,2EW,The Wokingham Federation,152,2023
Teesside University,3S1,Emmanuel Teacher Training Partnership,14U,2023
Tes Institute,H40,Benfleet TSA (Teacher Training),1JH,2023
Tes Institute,H40,E-ACT Academies Trust,1Z1,2023
Tes Institute,H40,Essex School Direct,1OS,2023
Tes Institute,H40,Haberdashers’ Academies Trust South,1KP,2023
Tes Institute,H40,Plume Community Teaching Partnership,1XB,2023
