accredited_provider_name,accredited_provider_code,training_provider_name,training_provider_code,academic_year_code
2Schools Consortium,T92,Oakthorpe Primary School,151,2023
Ambition Institute,2A2,LEARN with FA1,3L1,2023
Ambition Institute,2A2,London District East Teaching School Hub,5U5,2023
Ambition Institute,2A2,St Clement Danes School,3D3,2023
ARK Teacher Training,1CS,Academies Enterprise Trust: Essex,2CG,2023
ARK Teacher Training,1CS,Academies Enterprise Trust: London,2CH,2023
ARK Teacher Training,1CS,Academies Enterprise Trust: South West,2E1,2023
ARK Teacher Training,1CS,Academies Enterprise Trust: West Midlands,2CJ,2023
ARK Teacher Training,1CS,Academies Enterprise Trust: Yorkshire & Humber,2CK,2023
Arthur Terry SCITT,A67,Arthur Terry School,1QN,2023
Associated Merseyside Partnership SCITT,25F,Ashton Teacher Training Partnership,29O,2023
Associated Merseyside Partnership SCITT,25F,Green Park Primary School,2F6,2023
Associated Merseyside Partnership SCITT,25F,Hudson Primary School,2F5,2023
Astra SCITT,28E,Astra Amersham Hub,1MP,2023
Astra SCITT,28E,Astra Aylesbury Secondary Hub,2KM,2023
Bath Spa University,B20,Excalibur @  St John’s,2BO,2023
BEC Teacher Training,B28,Berlesduna Academy Trust Teacher Training,2D6,2023
BEC Teacher Training,B28,Billericay School,1PT,2023
Birmingham City University,B25,Arthur Terry School,1QN,2023
Birmingham City University,B25,Bishop Challoner Training School,1K2,2023
Birmingham City University,B25,Bromsgrove Primary Alliance,2HU,2023
Birmingham City University,B25,ConnectEd Partnership,27U,2023
Birmingham City University,B25,Futures Teaching,2KR,2023
Birmingham City University,B25,Greenholm Primary School,19R,2023
Birmingham City University,B25,Hereteach Alliance,22V,2023
Birmingham City University,B25,Riverley Primary School,2LF,2023
Birmingham City University,B25,St John Bosco ITT,1S9,2023
Birmingham City University,B25,"Teach Central, formerly RSA Academies'",26A,2023
Birmingham City University,B25,The Lion Alliance,1K1,2023
Birmingham City University,B25,Transforming Lives Educational Trust Initial Teacher Training (TLET ITT),1XO,2023
Birmingham City University,B25,Waverley School Direct,1RH,2023
Bishop Grosseteste University,B38,Diverse Association for Professional Learning (formerly TVTSA),12K,2023
Bishop Grosseteste University,B38,Eastgate Academy,2H2,2023
Bishop Grosseteste University,B38,Greenwood Academies Trust,1EX,2023
Bishop Grosseteste University,B38,Josie Thirkell Institute of Education,1GW,2023
Bishop Grosseteste University,B38,Nottingham Catholic Initial Teacher Training Partnership,1YD,2023
Bishop Grosseteste University,B38,"Queen Elizabeth's Grammar School, Horncastle",2KK,2023
Bishop Grosseteste University,B38,Stamford ITE Cluster,2E9,2023
Bishop Grosseteste University,B38,Tall Oaks Academy Trust,27M,2023
Bishop Grosseteste University,B38,The Forge Trust,2GK,2023
Bluecoat SCITT Alliance Nottingham,1YH,Bluecoat Academy,12W,2023
Bournemouth Poole & Dorset Teacher Training Partnership,B52,The Arnewood School Academy,1ZM,2023
Bradford Birth to 19 SCITT,259,Aireborough Partnership,2JF,2023
Bradford Birth to 19 SCITT,259,Bingley Grammar School Direct,2BP,2023
Bradford Birth to 19 SCITT,259,Carlton Academy Trust Schools Direct,3E0,2023
Bradford Birth to 19 SCITT,259,Dixons Academies Trust,1EP,2023
Bradford Birth to 19 SCITT,259,Orange Moon Education,3A7,2023
Bradford Birth to 19 SCITT,259,Parkwood Primary School,2HH,2023
Bradford Birth to 19 SCITT,259,Saltaire Primary School Direct,2X8,2023
Bradford Birth to 19 SCITT,259,St Edmund's Nursery School & Children's Centre,1EN,2023
Bradford Birth to 19 SCITT,259,St John's CofE Primary School BD4 6JF,2HY,2023
Bradford Birth to 19 SCITT,259,The Beckfoot School Direct Partnership,1MU,2023
Bradford College,B60,AIM Alliance Schools,2FR,2023
Bright Futures SCITT,G65,BBL Teacher Training,4A7,2023
Bright Futures SCITT,G65,Co-op Academies Trust,2X4,2023
Bright Futures SCITT,G65,Culcheth Campus,4F5,2023
Bright Futures SCITT,G65,Manchester Trusts and Schools Alliance,1JR,2023
Bright Futures SCITT,G65,TCAT Train to Teach,2H4,2023
Bromley Schools Collegiate,B91,Bromley Schools' Collegiate Eliot Bank Gordonbrock,1UO,2023
Bromley Schools Collegiate,B91,Bromley Schools' Collegiate School Direct,1C9,2023
Bromley Schools Collegiate,B91,Education Teaching Alliance Lewisham,1GA,2023
Bromley Schools Collegiate,B91,Woolwich Poly,1HC,2023
Cabot Learning Federation SCITT,2AV,Bristol Primary Training and Support Alliance (Whitehall Primary/Ashley Down Primary),1PL,2023
"Cambridge Training School Network, CTSN SCITT",1WO,Barrow CEVC Primary School,1MJ,2023
"Cambridge Training School Network, CTSN SCITT",1WO,Saffron Walden County High School,5A7,2023
"Cambridge Training School Network, CTSN SCITT",1WO,"The Cambridge Training School Network Partnership, CTSN",1LK,2023
Canterbury Christ Church University,C10,Aquila,2CA,2023
Canterbury Christ Church University,C10,East Kent Learning Alliance,2DG,2023
Canterbury Christ Church University,C10,St George RC School,1NK,2023
Canterbury Christ Church University,C10,St. Mary's Learning Alliance,2BJ,2023
Canterbury Christ Church University,C10,Swale Academies Trust,14H,2023
Canterbury Christ Church University,C10,The John Wallis Church of England Academy,1SK,2023
Canterbury Christ Church University,C10,Valley Invicta Teacher Training (VITT),1CU,2023
Carmel Teacher Training Partnership (CTTP),C23,Cardinal Hume Catholic School,198,2023
Carmel Teacher Training Partnership (CTTP),C23,St Anthony's Girls' Catholic Academy,1BM,2023
Carmel Teacher Training Partnership (CTTP),C23,St Mary's Catholic School,2KN,2023
Chiltern Training Group,C59,The Bedfordshire Schools  Training Partnership,B31,2023
Chiltern Training Group,C59,The Shire Foundation,S25,2023
Colchester Teacher Training Consortium,C76,Colchester Teacher Training (CTTC),2DB,2023
Compton SCITT,1X7,The Compton School,19P,2023
Cornwall School Centred Initial Teacher Training. (Cornwall SCITT),C79,The Roseland Academy,4B2,2023
CREC Early Years Partnership,25R,Warwickshire Early Years Hub,2KO,2023
Doncaster ITT Partnership,D51,Doncaster Partners in Learning Alliance,1RD,2023
Doncaster ITT Partnership,D51,Doncaster Regional Alliance For Teacher Training Secondary,2G3,2023
Durham SCITT,D87,Advance Learning Partnership,2AL,2023
Durham SCITT,D87,Eden Learning Trust,2LW,2023
Durham SCITT,D87,Northern Teacher Training Hub,1YQ,2023
Durham SCITT,D87,Redcar and Cleveland Teacher Training Partnership,3L3,2023
Durham SCITT,D87,Richmond School,18L,2023
Durham SCITT,D87,Sacred Heart Secondary - Redcar and Cleveland Teacher Training,5H1,2023
Durham SCITT,D87,"St Bede's Catholic Comprehensive School and Sixth Form College, Lanchester",1QB,2023
Durham University,D86,St John Vianney RC Primary School,1GQ,2023
Durham University,D86,Think North East School Direct Partnership,4B4,2023
East of England Teacher Training,2B6,East Lindsey ITT Partnership,4E2,2023
East of England Teacher Training,2B6,Grantham and South Lincolnshire ITT Partnership,2DU,2023
East of England Teacher Training,2B6,Josie Thirkell Institute of Education,1GW,2023
East of England Teacher Training,2B6,Lincolnshire Schools ITT Partnership,2HF,2023
East of England Teacher Training,2B6,North East Lincolnshire ITT Partnership,2CS,2023
Edge Hill University,E42,Arch Alliance - All Souls' CE Primary,1XK,2023
Edge Hill University,E42,Owls,2K3,2023
Edge Hill University,E42,Southport Learning Trust,3B3,2023
Educate Group Initial Teacher Training,E65,Northern Education Trust,1UR,2023
Educate Group Initial Teacher Training,E65,Pudsey Primrose Hill,1AY,2023
e-Qualitas,E69,AIM Alliance Schools,2FR,2023
e-Qualitas,E69,Aquila,2CA,2023
e-Qualitas,E69,City Excellence in Teaching,1CW,2023
e-Qualitas,E69,CTSA,1N4,2023
e-Qualitas,E69,Haberdashers’ Academies Trust South,1KP,2023
e-Qualitas,E69,Merton Special Training Association,163,2023
e-Qualitas,E69,Riverley Primary School,2LF,2023
e-Qualitas,E69,Saint John Southworth Enterprise and Research Alliance,15O,2023
e-Qualitas,E69,Sharing Excellence Partnership Dunraven School Streatham,1BW,2023
e-Qualitas,E69,South East Learning Alliance,1J1,2023
e-Qualitas,E69,The Bishop Fraser Trust Bolton  Bury ITT Partnership,18J,2023
e-Qualitas,E69,The Holy Cross School,1MO,2023
e-Qualitas,E69,Valley Trust (formerly TRISIS),2HM,2023
Essex and Thames SCITT,T25,Abacus Primary School,4Y1,2023
Essex and Thames SCITT,T25,John F Kennedy Special School,2GJ,2023
Essex and Thames SCITT,T25,Kelvedon St Marys - Essex and Thames SCITT,2L2,2023
Essex and Thames SCITT,T25,Sheringham Primary School,29Z,2023
Essex and Thames SCITT,T25,The Federation of Greenways Schools,2BQ,2023
Essex Primary SCITT,E73,Felsted Primary School,14R,2023
Essex Primary SCITT,E73,Professional Learning Network (Lyons Hall),1JW,2023
Essex Teacher Training,E75,Academies Enterprise Trust: Essex,2CG,2023
