accredited_provider_name,accredited_provider_code,training_provider_name,training_provider_code,academic_year_code
2Schools Consortium,T92,Oakthorpe Primary School,151,2022
2Schools Consortium,T92,Warren Dell Primary School,215,2022
ARK Teacher Training,1CS,Academies Enterprise Trust: Essex,2CG,2022
ARK Teacher Training,1CS,Academies Enterprise Trust: London,2CH,2022
ARK Teacher Training,1CS,Academies Enterprise Trust: South East,2CF,2022
ARK Teacher Training,1CS,Academies Enterprise Trust: West Midlands,2CJ,2022
ARK Teacher Training,1CS,Academies Enterprise Trust: Yorkshire & Humber,2CK,2022
Associated Merseyside Partnership SCITT,25F,Ashton Teacher Training Partnership,29O,2022
Associated Merseyside Partnership SCITT,25F,Green Park Primary School,2F6,2022
Associated Merseyside Partnership SCITT,25F,Hudson Primary School,2F5,2022
Astra SCITT,28E,Astra Amersham Hub,1MP,2022
Astra SCITT,28E,Astra Aylesbury Hub,2KM,2022
Bath Spa University,B20,Bristol Early Years Teaching Consortium,1LF,2022
BEC Teacher Training,B28,Billericay School,1PT,2022
Birmingham City University,B25,Bishop Challoner Training School,1K2,2022
Birmingham City University,B25,Bromsgrove Primary Alliance,2HU,2022
Birmingham City University,B25,ConnectEd Partnership,27U,2022
Birmingham City University,B25,Futures Teaching,2KR,2022
Birmingham City University,B25,Greenholm Primary School,19R,2022
Birmingham City University,B25,Hereteach Alliance,22V,2022
Birmingham City University,B25,NIoT@Oasis Community Learning,7K9,2022
Birmingham City University,B25,Riverley Primary School,2LF,2022
Birmingham City University,B25,St John Bosco ITT,1S9,2022
Birmingham City University,B25,"Teach Central, formerly RSA Academies'",26A,2022
Birmingham City University,B25,The Lion Alliance,1K1,2022
Birmingham City University,B25,Uttoxeter Learning Trust Teaching School,2J9,2022
Birmingham City University,B25,Waverley School Direct,1RH,2022
Bishop Grosseteste University,B38,Eastgate Academy,2H2,2022
Bishop Grosseteste University,B38,Greenwood Academies Trust,1EX,2022
Bishop Grosseteste University,B38,Josie Thirkell Institute of Education,1GW,2022
Bishop Grosseteste University,B38,Nottingham Catholic Initial Teacher Training Partnership,1YD,2022
Bishop Grosseteste University,B38,"Queen Elizabeth's Grammar School, Horncastle",2KK,2022
Bishop Grosseteste University,B38,Stamford ITE Cluster,2E9,2022
Bishop Grosseteste University,B38,The Forge Trust,2GK,2022
Bluecoat SCITT Alliance Nottingham,1YH,Bluecoat Academy,12W,2022
Bournemouth Poole & Dorset Teacher Training Partnership,B52,The Arnewood School Academy,1ZM,2022
Bournemouth Poole & Dorset Teacher Training Partnership,B52,Twynham Learning (School Direct),13Q,2022
Bradford Birth to 19 SCITT,259,Belle Vue Girls' Academy,2G4,2022
Bradford Birth to 19 SCITT,259,Bingley Grammar School Direct,2BP,2022
Bradford Birth to 19 SCITT,259,Carlton Academy Trust Schools Direct,3E0,2022
Bradford Birth to 19 SCITT,259,Parkwood Primary School,2HH,2022
Bradford Birth to 19 SCITT,259,Saltaire Primary School Direct,2X8,2022
Bradford Birth to 19 SCITT,259,St Edmund's Nursery School & Children's Centre,1EN,2022
Bradford Birth to 19 SCITT,259,St John's CofE Primary School BD4 6JF,2HY,2022
Bright Futures SCITT,G65,Culcheth Campus,4F5,2022
Bromley Schools Collegiate,B91,Bromley Schools' Collegiate Eliot Bank Gordonbrock,1UO,2022
Bromley Schools Collegiate,B91,Bromley Schools' Collegiate School Direct,1C9,2022
Bromley Schools Collegiate,B91,Education Teaching Alliance Lewisham,1GA,2022
Bromley Schools Collegiate,B91,Woolwich Poly,1HC,2022
Cabot Learning Federation SCITT,2AV,Bristol Early Years Teaching Consortium,1LF,2022
Cabot Learning Federation SCITT,2AV,Bristol Primary Training and Support Alliance (Whitehall Primary/Ashley Down Primary),1PL,2022
"Cambridge Training School Network, CTSN SCITT",1WO,Anglian Gateway Teaching Schools Alliance,1JD,2022
"Cambridge Training School Network, CTSN SCITT",1WO,Barrow CEVC Primary School,1MJ,2022
"Cambridge Training School Network, CTSN SCITT",1WO,Saffron Walden County High School,5A7,2022
"Cambridge Training School Network, CTSN SCITT",1WO,"The Cambridge Training School Network Partnership, CTSN",1LK,2022
Canterbury Christ Church University,C10,St George RC School,1NK,2022
Canterbury Christ Church University,C10,St. Mary's Learning Alliance,2BJ,2022
Canterbury Christ Church University,C10,Swale Academies Trust,14H,2022
Canterbury Christ Church University,C10,Thames Teaching Alliance,2B8,2022
Canterbury Christ Church University,C10,The John Wallis Church of England Academy,1SK,2022
Canterbury Christ Church University,C10,Valley Invicta Teacher Training (VITT),1CU,2022
Carmel Teacher Training Partnership (CTTP),C23,Cardinal Hume Catholic School,198,2022
Carmel Teacher Training Partnership (CTTP),C23,St Anthony's Girls' Catholic Academy,1BM,2022
Carmel Teacher Training Partnership (CTTP),C23,St Mary's Catholic School,2KN,2022
Cheshire East SCITT,25Q,Holmes Chapel Comprehensive School,1PN,2022
Chiltern Training Group,C59,Chiltern Training Group part of the Chiltern Learning trust,15N,2022
Compton SCITT,1X7,The Compton School,19P,2022
Coventry University,C85,Academies Enterprise Trust: London,2CH,2022
Coventry University,C85,Academies Enterprise Trust: South East,2CF,2022
Coventry University,C85,Creative Education Trust,5A1,2022
Coventry University,C85,Greenwood Academies Trust,1EX,2022
Coventry University,C85,Heartlands Academy,1Z1,2022
Coventry University,C85,LiFE MAT and Partners School Direct,1A4,2022
Coventry University,C85,The Lion Alliance,1K1,2022
Doncaster ITT Partnership,D51,Doncaster Partners in Learning Alliance,1RD,2022
Doncaster ITT Partnership,D51,Doncaster Regional Alliance For Teacher Training Secondary,2G3,2022
Durham SCITT,D87,Advance Learning Partnership,2AL,2022
Durham SCITT,D87,Northern Teacher Training Hub,1YQ,2022
Durham SCITT,D87,Richmond School,18L,2022
Durham University,D86,St John Vianney RC Primary School,1GQ,2022
Durham University,D86,Think North East School Direct Partnership,4B4,2022
East of England Teacher Training,2B6,Grantham and South Lincolnshire ITT Partnership,2DU,2022
East of England Teacher Training,2B6,Josie Thirkell Institute of Education,1GW,2022
