accredited_provider_name,accredited_provider_code,training_provider_name,training_provider_code,academic_year_code
East of England Teacher Training,2B6,North East Lincolnshire ITT Partnership,2CS,2022
Edge Hill University,E42,Arch Alliance - All Souls' CE Primary,1XK,2022
Edge Hill University,E42,Owls,2K3,2022
Educate Group Initial Teacher Training,E65,Northern Education Trust,1UR,2022
Educate Group Initial Teacher Training,E65,Pudsey Primrose Hill,1AY,2022
Endeavour Learning SCITT,M70,TCAT Train to Teach,2H4,2022
e-Qualitas,E69,Academies Enterprise Trust: London,2CH,2022
e-Qualitas,E69,Academies Enterprise Trust: South East,2CF,2022
e-Qualitas,E69,AIM Alliance Schools,2FR,2022
e-Qualitas,E69,City Excellence in Teaching,1CW,2022
e-Qualitas,E69,CTSA,1N4,2022
e-Qualitas,E69,Debden Park High School,2AP,2022
e-Qualitas,E69,Merton Special Training Association,163,2022
e-Qualitas,E69,Riverley Primary School,2LF,2022
e-Qualitas,E69,Saint John Southworth Enterprise and Research Alliance,15O,2022
e-Qualitas,E69,Sharing Excellence Partnership Dunraven School Streatham,1BW,2022
e-Qualitas,E69,South East Learning Alliance,1J1,2022
e-Qualitas,E69,St Marylebone Collaborative,1ET,2022
e-Qualitas,E69,The Holy Cross School,1MO,2022
Essex and Thames SCITT,T25,Abacus Primary School,4Y1,2022
Essex Primary SCITT,E73,Felsted Primary School,14R,2022
Essex Teacher Training,E75,Academies Enterprise Trust: Essex,2CG,2022
Essex Teacher Training,E75,Eastwood Park Academy Trust,2G1,2022
Essex Teacher Training,E75,Harlow Teacher Training Partnership,1ZH,2022
Essex Teacher Training,E75,Lee Chapel Teaching School Alliance,16H,2022
Essex Teacher Training,E75,Merrylands Teacher Training Partnership,2D6,2022
Essex Teacher Training,E75,ORTU Trust (Gable Hall),1KM,2022
Essex Teacher Training,E75,Paradigm Trust: Old Ford Primary Academy and Ipswich Academy,1C8,2022
Essex Teacher Training,E75,Romford Teacher Training Partnership,285,2022
Essex Teacher Training,E75,"St Thomas More's Catholic Primary School, Colchester",1K8,2022
Essex Teacher Training,E75,Woodside Academy,26V,2022
Essex Teacher Training,E75,Zengage Teacher Training Essex,3H5,2022
Exceed SCITT,2EY,Josie Thirkell Institute of Education,1GW,2022
Exceed SCITT,2EY,Morley Exceed Partnership,2ER,2022
Fareham and Gosport Primary SCITT,25M,Harrison Primary School,1AT,2022
Forest Independent Primary Collegiate SCITT,F82,Churchfields Junior School,2D7,2022
Forest Independent Primary Collegiate SCITT,F82,Gearies Primary School,23D,2022
Forest Independent Primary Collegiate SCITT,F82,Hazelwood Infant School,15T,2022
Gloucestershire Initial Teacher Education Partnership (GITEP),G48,Odyssey Learning Alliance,1ZB,2022
Gloucestershire Initial Teacher Education Partnership (GITEP),G48,The Cotswold Teacher Training Partnership,2EH,2022
"Goldsmiths, University of London",G56,Academies Enterprise Trust: London,2CH,2022
"Goldsmiths, University of London",G56,Bohunt Education Trust,1DP,2022
"Goldsmiths, University of London",G56,Catholic Schools' Partnership,134,2022
"Goldsmiths, University of London",G56,Future Stars TSA,1BR,2022
"Goldsmiths, University of London",G56,Grey Court Training School,22S,2022
"Goldsmiths, University of London",G56,Halstow Primary School,1V5,2022
"Goldsmiths, University of London",G56,North London New River Teaching Alliance,1JV,2022
"Goldsmiths, University of London",G56,South Thames Early Education Partnership & Goldsmiths University (STEEPtsa),21K,2022
"GORSE SCITT (Leeds, Bradford, Hull and East Yorkshire)",1N1,BDAT ITT in partnership with Gorse SCITT,3G1,2022
Harris ITE,1WU,NIoT@Harris Initial Teacher Education,1TZ,2022
Haybridge Alliance SCITT,2B3,South Bromsgrove Teacher Training Partnership,19S,2022
Haybridge Alliance SCITT,2B3,Stour Vale Academy Trust,1FA,2022
Haybridge Alliance SCITT,2B3,"Teach Central, formerly RSA Academies'",26A,2022
Henry Maynard Training E17,2AW,Henry Maynard Primary School,1RR,2022
High Force Education (SCITT),H38,Abbey Infants' School,153,2022
High Force Education (SCITT),H38,Prince Bishops Community Primary School,1LN,2022
High Force Education (SCITT),H38,The Swaledale Alliance,1FG,2022
Hillingdon SCITT,2B5,Cranford Community College,265,2022
Huddersfield Horizon SCITT,2EX,Moor End Academy,1A1,2022
Hull SCITT,25O,St Mary's College,1RU,2022
Keele and North Staffordshire Teacher Education,24J,The Golden Thread Teaching School Hub,155,2022
Keele and North Staffordshire Teacher Education,24J,Uttoxeter Learning Trust Teaching School,2J9,2022
Kent and Medway Training,K30,Dartford Grammar School,29N,2022
Kent and Medway Training,K30,Medway Valley Training Partnership,1Q5,2022
Kent and Medway Training,K30,Saint George's Church of England School,295,2022
Kent and Medway Training,K30,The Leigh Academy,24Q,2022
King's College London (University of London),K60,Beal High School (NELTA),1NA,2022
King's College London (University of London),K60,Catholic Schools' Partnership,134,2022
King's College London (University of London),K60,Grey Court Training School,22S,2022
King's College London (University of London),K60,Pan Enfield  Alliance,1KC,2022
King's College London (University of London),K60,South East Learning Alliance,1J1,2022
Kingston University,K84,St James' Partnership,1VN,2022
Kirklees and Calderdale SCITT,1WK,Heckmondwike Grammar School,1NZ,2022
Kirklees and Calderdale SCITT,1WK,Yorkshire Anglican Learning and Education Partnership,13J,2022
Lampton LWA SCITT,2AY,Lampton Academy,1P8,2022
Leeds Beckett University,L27,Aireborough Partnership,2JF,2022
Leeds Beckett University,L27,Five Towns ITT Partnership,2FW,2022
Leeds Beckett University,L27,Springboard,2HX,2022
Leeds Beckett University,L27,Yorkshire Schools Alliance,15X,2022
Leeds Trinity University,L24,Diocese of Leeds BKCAT Alliance,1ZX,2022
Leeds Trinity University,L24,St Anthony's Primary Learning Partnership,1Y9,2022
Leeds Trinity University,L24,White Rose Alliance,196,2022
Leeds Trinity University,L24,Yorkshire Schools Alliance,15X,2022
Leeds Trinity University,L24,Yorkshire Special Education Partnership (YSEP),197,2022
Leicester & Leicestershire SCITT,L35,Catholic Schools (School Direct),2C9,2022
Leicestershire Secondary SCITT,L33,Rushey Mead Academy,1MW,2022
Lincolnshire SCITT,25G,Ellison Boulters Church of England Primary School,19X,2022
Lincolnshire SCITT,25G,The Priory Academy LSST,1F4,2022
Liverpool Hope University,L46,Aspirational Teaching Alliance of St. Helens,1LA,2022
Liverpool Hope University,L46,St Helens ONE - Grange Valley Primary,2KF,2022
Liverpool Hope University,L46,Wigan and West Lancashire Catholic School Direct,27Q,2022
Liverpool John Moores University,L51,Cheshire Vale Teaching Support Alliance,26L,2022
Liverpool John Moores University,L51,MAITT (Merseyside Alliance Initial Teacher Training),168,2022
Liverpool John Moores University,L51,North West Learning Partnership,13N,2022
Liverpool John Moores University,L51,Palmerston School,1AE,2022
Liverpool John Moores University,L51,SD at Turton,2BS,2022
Liverpool John Moores University,L51,Teacher Training @ Knutsford,1M1,2022
Liverpool John Moores University,L51,The Heath Consortium,1DO,2022
Liverpool John Moores University,L51,Weatherhead High School,21D,2022
Liverpool John Moores University,L51,Wirral Schools Collaboration (Pensby),1ME,2022
London Metropolitan University,L68,Hackney Teaching Schools' Alliance,1V9,2022
London Metropolitan University,L68,The Viridis Schools Partnership,2CN,2022
London Metropolitan University,L68,West London Teacher Training Alliance (Primary),1EL,2022
London South Bank University,L75,Merton Special Training Association,163,2022
Loughborough University,L79,LiFE MAT and Partners School Direct,1A4,2022
Loughborough University,L79,Lionheart Teach,1O8,2022
Loughborough University,L79,Loughborough Learning Alliance,195,2022
Middlesex University,M80,AIM Alliance Schools,2FR,2022
Middlesex University,M80,North London New River Teaching Alliance,1JV,2022
Mid Somerset Consortium for Teacher Training,M84,Crispin School with the Mid Somerset Consortium,1OF,2022
Mid Somerset Consortium for Teacher Training,M84,Taunton Teaching Alliance (Heathfield School),232,2022
NELTA,251,Beal High School (NELTA),1NA,2022
Newman University,N36,Bishop Challoner Training School,1K2,2022
Newman University,N36,Blue Sky,21L,2022
Newman University,N36,Bromsgrove Primary Alliance,2HU,2022
Newman University,N36,Futures Teaching,2KR,2022
Newman University,N36,St John Bosco ITT,1S9,2022
Newman University,N36,St Paul's Caritas Christi,242,2022
Newman University,N36,Waverley School Direct,1RH,2022
Norfolk Teacher Training Centre,N43,Attleborough Academy,2GG,2022
Norfolk Teacher Training Centre,N43,Wensum Junior Partnership,8H6,2022
Northampton Teacher Training Partnership,N42,Northampton School for Boys,16G,2022
Northern Lights SCITT,255,Skipton Girls' High School,1QP,2022
North Essex Teacher Training (NETT),N46,NETT,2L4,2022
North Wiltshire SCITT,24U,Blue Kite Academy Trust,2HL,2022
North Wiltshire SCITT,24U,Pickwick Learning,23Z,2022
Nottingham Trent University,N91,Creative Education Trust,5A1,2022
Nottingham Trent University,N91,Greenwood Academies Trust,1EX,2022
Nottingham Trent University,N91,Kirkby Primary Partnership,279,2022
Nottingham Trent University,N91,Lionheart Teach,1O8,2022
Nottingham Trent University,N91,Nottingham Catholic Initial Teacher Training Partnership,1YD,2022
Nottingham Trent University,N91,The Rutland Learning Trust,3N6,2022
Oxford Brookes University,O66,The Downland Alliance,236,2022
Partnership London SCITT (PLS),2B1,St Angela's Teacher Training Centre,1XC,2022
Partnership London SCITT (PLS),2B1,St. Edward’s Teacher Training Partnership,1EG,2022
Partnership London SCITT (PLS),2B1,Sydney Russell Teacher Training Centre,1EJ,2022
Pennine Lancashire SCITT,P38,East Lancashire Inclusion Partnership,1NP,2022
Plymouth Marjon University,P63,Bridging the Tamar Learning Alliance,165,2022
Plymouth Marjon University,P63,Devon and Cornwall Cooperative Alliance,2HG,2022
Plymouth Marjon University,P63,First Federation Train to Teach,1QR,2022
Plymouth Marjon University,P63,Kernow Initial Teacher Education,21J,2022
Plymouth Marjon University,P63,North Somerset Teaching Alliance,16Z,2022
Plymouth Marjon University,P63,The Priory Learning Trust,2E3,2022
Poole SCITT,P75,"Linwood Training, Support and Advice",1X3,2022
Poole SCITT,P75,Twynham Learning (School Direct),13Q,2022
Primary Catholic Partnership SCITT (PCP SCITT),P85,CTSA,1N4,2022
Prince Henry's High School & South Worcestershire SCITT,2ET,Bromsgrove Primary Alliance,2HU,2022
Red Kite Teacher Training,2B9,North Star,269,2022
Red Kite Teacher Training,2B9,The Swaledale Alliance,1FG,2022
Ripley ITT,R23,South Cumbria School Direct,2KS,2022
Roehampton University,R48,Lampton Academy,1P8,2022
Roehampton University,R48,PACE Academy Trust,1O1,2022
Roehampton University,R48,Sharing Excellence Partnership Dunraven School Streatham,1BW,2022
Roehampton University,R48,South East Learning Alliance,1J1,2022
Roehampton University,R48,St George RC School,1NK,2022
Roehampton University,R48,Teach Wimbledon,1ZO,2022
Roehampton University,R48,West London Teacher Training Alliance (Primary),1EL,2022
Sacred Heart Newcastle SCITT,2BA,Cardinal Hume Catholic School,198,2022
Sacred Heart Newcastle SCITT,2BA,St Mary's Catholic School,2KN,2022
Services for Education,1WE,Greenholm Primary School,19R,2022
Sheffield Hallam University,S21,Aspirer School Direct,1XQ,2022
Sheffield Hallam University,S21,Aston Community Education Trust,17U,2022
Sheffield Hallam University,S21,Emmanuel Teacher Training Partnership,14U,2022
Sheffield Hallam University,S21,Josie Thirkell Institute of Education,1GW,2022
Sheffield Hallam University,S21,Learners First Schools Partnership,1GX,2022
Sheffield Hallam University,S21,White Rose Alliance,196,2022
Somerset SCITT Consortium,S31,Growing Expert Teachers,2AO,2022
Somerset SCITT Consortium,S31,Taunton Teaching Alliance (Heathfield School),232,2022
South West Teacher Training,S66,Exeter Consortium,1QX,2022
Staffordshire University,S72,East Cheshire School Direct Partnership,29Q,2022
St. George's Academy Partnership,G15,St George's Academy,24D,2022
"St Mary's University, Twickenham",S64,Bohunt Education Trust,1DP,2022
"St Mary's University, Twickenham",S64,Catholic Schools' Partnership,134,2022
"St Mary's University, Twickenham",S64,Grey Court Training School,22S,2022
"St Mary's University, Twickenham",S64,Lampton Academy,1P8,2022
"St Mary's University, Twickenham",S64,Saint John Southworth Enterprise and Research Alliance,15O,2022
"St Mary's University, Twickenham",S64,St Joseph's Alliance,1BY,2022
"St Mary's University, Twickenham",S64,Teach Wimbledon,1ZO,2022
"St Mary's University, Twickenham",S64,West London Teacher Training Alliance (Primary),1EL,2022
Suffolk and Norfolk Primary SCITT,S13,ASSET Education,146,2022
Suffolk and Norfolk Primary SCITT,S13,Barrow CEVC Primary School,1MJ,2022
Suffolk and Norfolk Primary SCITT,S13,Consortium Multi Academy Trust,2J7,2022
Suffolk and Norfolk Primary SCITT,S13,Exning Primary School,1JM,2022
Suffolk and Norfolk Primary SCITT,S13,Fairfield Infant School,1VQ,2022
Suffolk and Norfolk Primary SCITT,S13,Harleston CofE VA Primary School,1DY,2022
Suffolk and Norfolk Primary SCITT,S13,Inclusive Schools Trust,2JE,2022
Suffolk and Norfolk Primary SCITT,S13,St Francis of Assisi Catholic Primary School,2JV,2022
Suffolk and Norfolk Primary SCITT,S13,The Bawburgh School,1JE,2022
Suffolk and Norfolk Primary SCITT,S13,White Woman Lane Junior School,1MH,2022
Suffolk and Norfolk Secondary SCITT,S14,Hartismere School,1GP,2022
Suffolk and Norfolk Secondary SCITT,S14,One Sixth Form College,2M5,2022
Suffolk and Norfolk Secondary SCITT,S14,Thorpe St Andrew School and Sixth Form,1ZN,2022
Sutton SCITT,1ZW,Glenthorne High School,17J,2022
Teaching London: LDBS SCITT,L59,Brampton Manor Academy,MB8,2022
Teaching London: LDBS SCITT,L59,"Christ Church Primary School, Hampstead",1VM,2022
Teaching London: LDBS SCITT,L59,Cranford Community College,265,2022
Teaching London: LDBS SCITT,L59,Forty Hill CofE Primary School,2L8,2022
Teaching London: LDBS SCITT,L59,Holy Trinity CofE Primary School,292,2022
Teaching London: LDBS SCITT,L59,Littleton CofE Infant School,2HR,2022
Teaching London: LDBS SCITT,L59,St Andrews CE Primary School,1VA,2022
Teaching London: LDBS SCITT,L59,St Mary's CofE Primary School,29Y,2022
Teaching London: LDBS SCITT,L59,St Peter's London Docks CofE Primary School,1V1,2022
Teach Kent & Sussex,2EZ,Bennett Memorial Diocesan School,1KU,2022
Teach Kent & Sussex,2EZ,Claremont Primary School,1TP,2022
Teach SouthEast,2EW,Bosco Sussex,1KY,2022
Teach SouthEast,2EW,The Wokingham Federation,152,2022
Teesside University,3S1,Emmanuel Teacher Training Partnership,14U,2022
Tes Institute,H40,TTTC (Thurrock Teacher Training Company),1CN,2022
The Cambridge Partnership,C03,Acorns Early Years Training Centre,2CV,2022
The Cambridge Partnership,C03,Greenwood Academies Trust,1EX,2022
The Grand Union Training Partnership,G60,Sponne School,1PJ,2022
The John Taylor SCITT,24V,John Taylor High School,1L6,2022
The John Taylor SCITT,24V,Uttoxeter Learning Trust Teaching School,2J9,2022
The John Taylor SCITT,24V,William Shrewsbury Primary Partnership,2FM,2022
The Learning Institute South West,L19,The Learning Institute South West [School Direct],28N,2022
The Manchester Metropolitan University,M40,Arch Alliance - All Souls' CE Primary,1XK,2022
The Manchester Metropolitan University,M40,Blessed Thomas Holford Catholic College,1YR,2022
The Manchester Metropolitan University,M40,Boarshaw Community Primary School,2LJ,2022
The Manchester Metropolitan University,M40,Elmridge Primary School,1V4,2022
The Manchester Metropolitan University,M40,Holmes Chapel Comprehensive School,1PN,2022
The Manchester Metropolitan University,M40,Manchester Trusts and Schools Alliance,1JR,2022
The Manchester Metropolitan University,M40,Rivington School Direct,1JL,2022
The National Mathematics and Physics SCITT,2H8,Wycombe High School,1CH,2022
The OAKS (Ormiston and Keele SCITT),24P,Brine Leas School,18U,2022
The OAKS (Ormiston and Keele SCITT),24P,Fairfax Academy,9J3,2022
The OAKS (Ormiston and Keele SCITT),24P,Ormiston Sir Stanley Matthews Academy,1UV,2022
The OAKS (Ormiston and Keele SCITT),24P,The OAKS Norfolk,4T7,2022
The OAKS (Ormiston and Keele SCITT),24P,The OAKS Suffolk,4T6,2022
The Royal Borough of Windsor and Maidenhead SCITT,1WM,"Windsor, Ascot and Maidenhead Consortium",1AZ,2022
The Sheffield SCITT,S97,Hungerhill School,298,2022
The South Downs SCITT,2AZ,The South Downs School Direct Partnership,2GH,2022
The University of Gloucestershire,G50,Bristol Early Years Teaching Consortium,1LF,2022
The University of Gloucestershire,G50,Cleeve School,3B6,2022
The University of Gloucestershire,G50,Odyssey Learning Alliance,1ZB,2022
The University of Gloucestershire,G50,The Cotswold Teacher Training Partnership,2EH,2022
The University of Hull,H72,Academies Enterprise Trust: Yorkshire & Humber,2CK,2022
The University of Manchester,M20,Blessed Thomas Holford Catholic College,1YR,2022
The University of Manchester,M20,Hursthead Junior School Alliance,27X,2022
The University of Manchester,M20,Pennine Teaching Alliance,2FK,2022
The University of Nottingham,N84,Creative Education Trust,5A1,2022
The University of Reading,R12,Calthorpe Park North East Hants and Surrey Borders Consortium,1UH,2022
The University of Reading,R12,Collingwood College,1LJ,2022
The University of Reading,R12,Court Moor Partnership,2J8,2022
The University of Reading,R12,Forest Learning Alliance,1HW,2022
The University of Reading,R12,Geoffrey Field Junior School,1QL,2022
The University of Reading,R12,Maiden Erlegh Institute,1Y1,2022
The University of Reading,R12,Teach Maidenhead,286,2022
The University of Reading,R12,The Bracknell Forest Partnership,2FZ,2022
The University of Reading,R12,The Trinity Partnership,1RM,2022
The University of Reading,R12,The Wokingham Federation,152,2022
The University of Reading,R12,Two Counties,26Q,2022
The University of Sheffield,S18,Ashfield School ITT,2L9,2022
The University of Sheffield,S18,Aston Community Education Trust,17U,2022
The University of Warwick,W20,Academies Enterprise Trust: West Midlands,2CJ,2022
The University of Warwick,W20,Arden Alliance,2BU,2022
The University of Warwick,W20,Bishop Challoner Training School,1K2,2022
The University of Warwick,W20,Creative Education Trust,5A1,2022
The University of Warwick,W20,Cuckoo Hall Academies Trust (CHAT),1X1,2022
The University of Warwick,W20,Futures Teaching,2KR,2022
The University of Warwick,W20,St Paul's Caritas Christi,242,2022
The University of Warwick,W20,The Lion Alliance,1K1,2022
The University of York,Y50,Yorkshire Schools Alliance,15X,2022
Titan Partnership Ltd,T30,Aston Manor Academy,1F2,2022
TKAT SCITT,K13,Chichester High School,2GC,2022
TKAT SCITT,K13,Debden Park High School,2AP,2022
TKAT SCITT,K13,TKAT (School Direct),2G5,2022
Two Mile Ash ITT Partnership,T89,Ashmead Combined School,289,2022
Two Mile Ash ITT Partnership,T89,Pen Green Centre for Children and Their Families,21P,2022
"UCL, University College London",U80,Academies Enterprise Trust: London,2CH,2022
"UCL, University College London",U80,Beal High School (NELTA),1NA,2022
"UCL, University College London",U80,Catholic Schools' Partnership,134,2022
"UCL, University College London",U80,Future Stars TSA,1BR,2022
"UCL, University College London",U80,North London New River Teaching Alliance,1JV,2022
"UCL, University College London",U80,St Marylebone Collaborative,1ET,2022
"UCL, University College London",U80,Teach Wimbledon,1ZO,2022
"UCL, University College London",U80,The Compton School,19P,2022
University College Birmingham,B35,Riverley Primary School,2LF,2022
University College Birmingham,B35,Wilson Stuart School,1DW,2022
University of Bedfordshire,B22,ATT Partnership,2CZ,2022
University of Bedfordshire,B22,Goldington Academy,2DM,2022
University of Bedfordshire,B22,Middlefield Primary Academy,1C2,2022
University of Bedfordshire,B22,Thorndown Primary School,2LV,2022
University of Birmingham,B32,Manor Primary School,1QO,2022
University of Birmingham,B32,Prince Albert Junior and Infant School,2JO,2022
University of Birmingham,B32,St Paul's Caritas Christi,242,2022
University of Birmingham,B32,Victoria Academies Trust,24Y,2022
University of Birmingham,B32,Windsor Academy Trust,2HE,2022
University of Birmingham,B32,Wood Green ITT Alliance,1O7,2022
University of Brighton,B72,Bohunt Education Trust,1DP,2022
University of Brighton,B72,Oriel ITT Partnership,2LR,2022
University of Brighton,B72,St. Mary's Learning Alliance,2BJ,2022
University of Brighton,B72,Swale Academies Trust,14H,2022
University of Brighton,B72,Thames Teaching Alliance,2B8,2022
University of Brighton,B72,Torfield School,1YE,2022
University of Brighton,B72,Valley Invicta Teacher Training (VITT),1CU,2022
University of Brighton,B72,Wealden Partnership,1Z2,2022
University of Bristol,B78,Bristol Cathedral,2HN,2022
University of Bristol,B78,North Somerset Teaching Alliance,16Z,2022
University of Chester,C55,Cheshire Leadership & Teaching Alliance,144,2022
University of Chester,C55,Severn Training and Schools Alliance,1B5,2022
University of Chichester,C58,Bitterne Park Teacher Training Alliance,1F6,2022
University of Chichester,C58,Bohunt Education Trust,1DP,2022
University of Cumbria,C99,Blackburn Team Alliance,1UC,2022
University of Cumbria,C99,Hackney Teaching Schools' Alliance,1V9,2022
University of Cumbria,C99,Kirkbie Kendal School,1HZ,2022
University of Cumbria,C99,Learning Futures Partnership,1UY,2022
University of Cumbria,C99,Omega Teaching Partnership,1L2,2022
University of Cumbria,C99,School Direct at The Great Schools Trust,2R7,2022
University of Cumbria,C99,Teach Heart Alliance,1D8,2022
University of Cumbria,C99,"Teach North West, SS Simon and Jude Alliance",14T,2022
University of Derby,D39,Alfreton Nursery School,2C2,2022
University of Derby,D39,Fairfields School,1L3,2022
University of Derby,D39,Loughborough Learning Alliance,195,2022
University of Derby,D39,Nottingham Catholic Initial Teacher Training Partnership,1YD,2022
University of Derby,D39,REAch Teach Primary Partnership,1QU,2022
University of Derby,D39,The Golden Thread Teaching School Hub,155,2022
University of Derby,D39,The Northworthy Alliance,1L7,2022
University of East Anglia,E14,Creative Education Trust,5A1,2022
University of East Anglia,E14,Hartismere School,1GP,2022
University of East Anglia,E14,Northgate High School,3C4,2022
University of East Anglia,E14,Synergy,2D5,2022
University of East Anglia,E14,Thorpe St Andrew School and Sixth Form,1ZN,2022
University of East London,E28,Burnt Mill Academy,2GY,2022
University of East London,E28,East London Early Years and Schools Partnership,25U,2022
University of East London,E28,Riverley Primary School,2LF,2022
University of East London,E28,Stepney All Saints Partnership.,132,2022
University of Exeter,E84,Jurassic Coast Teacher Network,172,2022
University of Exeter,E84,Kernow Initial Teacher Education,21J,2022
