accredited_provider_name,accredited_provider_code,training_provider_name,training_provider_code,academic_year_code
2Schools Consortium,T92,Oakthorpe Primary School,151,2021
2Schools Consortium,T92,Warren Dell Primary School,215,2021
Associated Merseyside Partnership SCITT,25F,Ashton Teacher Training Partnership,29O,2021
Associated Merseyside Partnership SCITT,25F,Deyes High School,1CD,2021
Associated Merseyside Partnership SCITT,25F,Green Park Primary School,2F6,2021
Associated Merseyside Partnership SCITT,25F,Hudson Primary School,2F5,2021
Astra SCITT,28E,Astra Amersham Hub,1MP,2021
Astra SCITT,28E,Astra Marlow Hub,2JH,2021
Bath Spa University,B20,Bristol Early Years Teaching Consortium,1LF,2021
Bath Spa University,B20,Cotswold Edge Teaching Alliance,26P,2021
Bath Spa University,B20,North Somerset Teaching Alliance,16Z,2021
Bath Spa University,B20,The Partnership Trust,1UW,2021
Bath Spa University,B20,West Wilts Alliance,2FY,2021
BEC Teacher Training,B28,Billericay School,1PT,2021
BEC Teacher Training,B28,Buttsbury Infant School,1PV,2021
Birmingham City University,B25,Boldmere Teaching School Alliance,13B,2021
Birmingham City University,B25,ConnectEd Partnership,27U,2021
Birmingham City University,B25,Greenholm Primary School,19R,2021
Birmingham City University,B25,Hales Valley Teaching School,18E,2021
Birmingham City University,B25,Hereteach Alliance,22V,2021
Birmingham City University,B25,Higham Lane School Partnership,2KZ,2021
Birmingham City University,B25,Kenilworth Partnership,241,2021
Birmingham City University,B25,Oasis Academy Warndon,7K9,2021
Birmingham City University,B25,Riverley Primary School,2LF,2021
Birmingham City University,B25,Ryders Hayes Teaching School,131,2021
Birmingham City University,B25,Shireland Teaching School Alliance,13A,2021
Birmingham City University,B25,Stour Vale Academy Trust,1FA,2021
Birmingham City University,B25,The Earls High School,1L5,2021
Birmingham City University,B25,Uttoxeter Learning Trust Teaching School,2J9,2021
Birmingham City University,B25,Waverley School Direct,1RH,2021
Bishop Grosseteste University,B38,Aurum Schools Partnership,1X2,2021
Bishop Grosseteste University,B38,Eastgate Academy,2H2,2021
Bishop Grosseteste University,B38,Greenwood Academies Trust,1EX,2021
Bishop Grosseteste University,B38,Humber Teaching School,1ES,2021
Bishop Grosseteste University,B38,"Queen Elizabeth's Grammar School, Horncastle",2KK,2021
Bishop Grosseteste University,B38,Stamford ITE Cluster,2E9,2021
Bishop Grosseteste University,B38,St Mary's School Direct Partnership Programme,2C5,2021
Bishop Grosseteste University,B38,The Bardney Church Of England And Methodist Primary School,1N2,2021
Bishop Grosseteste University,B38,The Forge Trust,2GK,2021
Bishop Grosseteste University,B38,The Phoenix School,21O,2021
Bluecoat SCITT Alliance Nottingham,1YH,Bluecoat Academy,12W,2021
Bournemouth Poole & Dorset Teacher Training Partnership,B52,The Arnewood School Academy,1ZM,2021
Bourton Meadow Initial Teacher Training Centre,1WR,Bedgrove Infant School,1YP,2021
Bourton Meadow Initial Teacher Training Centre,1WR,Bourton Meadow Academy,16F,2021
Bradford Birth to 19 SCITT,259,Belle Vue Girls' Academy,2G4,2021
Bradford Birth to 19 SCITT,259,Bingley Grammar School Direct,2BP,2021
Bradford Birth to 19 SCITT,259,Carlton Academy Trust Schools Direct,3E0,2021
Bradford Birth to 19 SCITT,259,Parkwood Primary School,2HH,2021
Bradford College,B60,Abbey MAT Primary Alliance,2DQ,2021
Bright Futures SCITT,G65,Culcheth Campus,4F5,2021
Bromley Schools Collegiate,B91,Bromley Schools' Collegiate Eliot Bank Gordonbrock,1UO,2021
Bromley Schools Collegiate,B91,Bromley Schools' Collegiate School Direct,1C9,2021
Bromley Schools Collegiate,B91,Education Teaching Alliance Lewisham,1GA,2021
Brunel University London,B84,Primary TS Alliance,14N,2021
Cabot Learning Federation SCITT,2AV,Bristol Early Years Teaching Consortium,1LF,2021
Cabot Learning Federation SCITT,2AV,Bristol Metropolitan Academy,2H5,2021
Canterbury Christ Church University,C10,Bexley Teaching School Alliance,1HE,2021
Canterbury Christ Church University,C10,Canterbury and Swale Teacher Training Alliance,1CR,2021
Canterbury Christ Church University,C10,"Dover, Deal and Sandwich Partnership",1CG,2021
Canterbury Christ Church University,C10,East Kent Learning Alliance,2DG,2021
Canterbury Christ Church University,C10,Furley Park,1YV,2021
Canterbury Christ Church University,C10,LEAF,2JR,2021
Canterbury Christ Church University,C10,Mascalls Training Partnership,1GR,2021
Canterbury Christ Church University,C10,Shepway Teaching School Alliance,1NG,2021
Canterbury Christ Church University,C10,St. Mary's Learning Alliance,2BJ,2021
Canterbury Christ Church University,C10,Thames Teaching Alliance,2B8,2021
Carmel Teacher Training Partnership (CTTP),C23,Cardinal Hume Catholic School,198,2021
Carmel Teacher Training Partnership (CTTP),C23,St Anthony's Girls' Catholic Academy,1BM,2021
Carmel Teacher Training Partnership (CTTP),C23,St Cuthbert's High School,1KL,2021
Carmel Teacher Training Partnership (CTTP),C23,St Mary and St Thomas Aquinas Catholic Primary School,1EW,2021
Carmel Teacher Training Partnership (CTTP),C23,St Mary's Catholic School,2KN,2021
Cheshire East SCITT,25Q,Holmes Chapel Comprehensive School,1PN,2021
Chiltern Training Group,C59,Chiltern Training Group part of the Chiltern Learning trust,15N,2021
Cornwall School Centred Initial Teacher Training. (Cornwall SCITT),C79,Aspire Teaching Trust,2HB,2021
Cornwall School Centred Initial Teacher Training. (Cornwall SCITT),C79,Cornwall Teaching School,19U,2021
Coventry University,C85,Greenwood Academies Trust,1EX,2021
CREC Early Years Partnership,25P,Cambridge Early Years Teaching School Alliance (CEYTSA),271,2021
CREC Early Years Partnership,25P,CREC Early Years Partnership,25R,2021
CREC Early Years Partnership,25P,Warwickshire Early Years Hub,2KO,2021
Doncaster ITT Partnership,D51,Doncaster Partners in Learning TSA,1RD,2021
Doncaster ITT Partnership,D51,Doncaster Regional Alliance For Teacher Training Secondary,2G3,2021
Durham SCITT,D87,Acklam Grange Teaching School,2FD,2021
Durham SCITT,D87,Advance Learning Partnership,2AL,2021
