provider__code,provider__legal_name,provider__operating_name,accreditation__number
1X7,The Compton School,Compton SCITT,5644
2B2,The Constellation Trust,Yorkshire and Humber Teacher Training,5700
2EU,The Cranmer Education Trust,Manchester Nexus SCITT,5710
24L,The Dean Trust,Ashton on Mersey School SCITT,5638
D87,The Eden Learning Trust,Durham SCITT,5573
2EV,The Education Alliance,Yorkshire Wolds Teacher Training,5712
2B3,Four Stones Gateway Trust,Haybridge SCITT,5701
24V,The John Taylor MAT,The John Taylor SCITT,5667
K13,The Kemnal Academies Trust,TKAT SCITT,5578
133,The LETTA Trust,London East Teacher Training Alliance (LETTA),5663
L33,The Mead Educational Trust,Leicester and Leicestershire SCITT,5584
25G,The Priory Federation of Academies Trust,Lincolnshire ITT,5676
1WM,The Royal Borough of Windsor & Maidenhead,Royal Borough of Windsor and Maidenhead SCITT,5629
4E5,The Sea View Trust,Embrace SCITT,5731
1HR,The Spencer Academies Trust,George Spencer Academy SCITT,5595
R12,The University of Reading,University of Reading,1559
1ZW,The Willow Learning Trust,Sutton SCITT,5651
G60,Tove Learning Trust,The Grand Union Training Partnership,5519
C79,Truro & Penwith College,Cornwall School Centred Initial Teacher Training (Cornwall SCITT),5511
1KV,Twyford CofE Academies Trust,Teach West London Teaching School Hub,5737
B52,Twynham Learning,Bournemouth Bay Teacher Training Partnership,5575
1A9,United Learning Trust,United Teaching National SCITT,5674
U80,University College London (UCL),University College London (UCL),1584
B22,University of Bedfordshire,University of Bedfordshire,1582
B32,University of Birmingham,University of Birmingham,1537
B72,University of Brighton,University of Brighton,1538
B78,University of Bristol,University of Bristol,1539
2Z3,University of Buckingham,University of Buckingham,1581
C05,University of Cambridge,University of Cambridge,1540
C55,University of Chester,University of Chester,1507
C58,University of Chichester,University of Chichester,1533
P82,University of Chichester Academy Trust,Portsmouth Primary SCITT,5532
C99,University of Cumbria,University of Cumbria,1529
D39,University of Derby,University of Derby,1542
E14,University of East Anglia,University of East Anglia,1544
E28,University of East London,University of East London,1545
E84,University of Exeter,University of Exeter,1546
G50,University of Gloucestershire,University of Gloucestershire,1547
G70,University of Greenwich,University of Greenwich,1548
H36,University of Hertfordshire,University of Hertfordshire,1549
H60,University of Huddersfield,University of Huddersfield,1550
L34,University of Leicester,University of Leicester,1553
M20,University of Manchester,University of Manchester,1554
N21,University of Newcastle Upon Tyne,Newcastle University,1577
N38,University of Northampton,University of Northampton,1534
N77,University of Northumbria at Newcastle,University of Northumbria,1572
N84,University of Nottingham,University of Nottingham,1555
O33,University of Oxford,University of Oxford,1556
P80,University of Portsmouth,University of Portsmouth,1558
S18,University of Sheffield,The University of Sheffield,1560
S27,University of Southampton,University of Southampton,1561
P63,University of St Mark and St John,Plymouth Marjon University,1508
S72,University of Staffordshire,University of Staffordshire,1531
S84,University of Sunderland,University of Sunderland,1562
S90,University of Sussex,University of Sussex,1564
W20,University of Warwick,The University of Warwick,1566
W76,University of Winchester,University of Winchester,1514
W75,University of Wolverhampton,University of Wolverhampton,1567
W80,University of Worcester,University of Worcester,1535
Y50,University of York,University of York,1568
B80,University of the West of England,University of the West of England,1565
M84,Wessex Learning Trust,Mid Somerset Consortium for Teacher Training,5604
24X,Weydon Multi Academy Trust,i2i Teaching Partnership SCITT,5657
2ET,Worcestershire Hills Trust,Prince Henry�s High School and South Worcestershire SCITT,5711
2EW,Xavier Catholic Education Trust,Xavier Teach SouthEast,5709
Y75,York St John University,York St John University,1569
